;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMP;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
147;allonger;;;;;alôZEr;alôZa;;;;;;;;alôZE;;alôZE;alôZE;alôZE;alôZe;;;;;;;;alôZe;alôZ;alôZâ;;;;alôZ6rE;;;alôZô;alôZ;alôZe;alôZ;alôZ;alôZ;;;alôZ;;;;
148;allouer;;;;;;;;;;;;;;;;;;;alue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;allumer;;alymE;;;alymEr;alyma;alym6rô;alym6rE;;alym6ra;;;alymjô;alymE;;alymE;alymE;alymE;alyme;;;;;;;;alyme;alym;alymâ;;;;;alym6rE;;alymô;alym;alyme;alym;alym;alym;;;;;alym;;
150;alléger;;;;;;alEZa;;;;;;;;alEZE;;;;alEZE;alEZe;;;;;;;;alEZe;;;;;;;;;;alEZ;;;;alEZ;;;;;;;
151;alléguer;;;;;;;;;;;;alEg6ra;;;;;;;;;;;;;;;;;alEgâ;;;;;;;;;;;;alEg;;;;;;;
152;alourdir;;;;;;alurdi;;;;;;;;;;;alurdisE;alurdisE;alurdir;;;;;;;;;alurdi;;;;;;;;;alurdi;;;alurdis;alurdi;;;;;;;
153;alpaguer;;;;;;;;;;;;;;;;;;;alpage;;;;;;;;;;;;;;;;alpag6rE;;;;;;alpag;;;;;;;
154;alterner;;;;;;;;;;;;;;;;;altErnE;;altErne;;;;;;;;;altErn;altErnâ;;;;;;;;;;;altErn;altErn;;;;;;;
155;altérer;;;;;altErEr;;;;;;;;;;;;;altErE;altEre;;;;;;altEra;;;altEr;;;;;;;;;altEr;;;;altEr;;;;;;;
156;amadouer;;;;;;;;;;;;;;;;;;amaduE;amadue;;;;;;;;;;;;;;;;;;amadu;;;;;;;;;;;
157;amaigrir;;;;;;;;;;;;;;;;;;amEgrisE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;amalgamer;;;;;;;;;;;;;;;;;;amalgamE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;amarrer;;;;;;amara;;;;;;;;;;;amarE;amarE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;amasser;;;;;;;;;;;;;;;;;amasE;amasE;amase;;;;;;;;;amas;amasâ;;;;;;;;amas;amase;;;amas;;;;;;;
161;ambitionner;;;;;;;;;;;;;;;;;;âbisjOnE;;;;;;;;;;;;;;;;;;;âbisjOn;;;;âbisjOn;;;;;;;
162;amender;;;;;;;;;;;;;;;;;;;amâde;;;;;;;;;;;;;;;;;;amâd;;;amâd;amâd;;;;;;;
163;amener;;;;;am6nEr;am6na;;amEn6rE;;amEn6ra;amEn6rô;amEn6ra;am6njô;am6nE;am6nje;am6nE;am6nE;am6nE;am6ne;;;;;;;am6nô;am6ne;amEn;am6nâ;;amEn6rE;;amEn6rE;;amEn6rE;am6nô;amEn;am6ne;amEn;amEn;amEn;;;amEn;;amEn;amEn;amEn
164;amenuiser;;;;;;;;;;;;;;;;;;am6nHizE;;;;;;;;;;;am6nHizâ;;;;;;;;;;;am6nHiz;am6nHiz;;;;;;;
165;ameuter;;;;;;;;;;;;;;;;;;;am6te;;;;;;;;;;;;;;;;;;am2t;;;;;;;;;;;
166;amincir;;;;;;amêsi;;;;;;;;;;;;amêsisE;amêsir;;;;;;;;;;;;;;;;;;;;;;amêsi;;;;;;;
167;amnistier;;;;;;;;;;;;;;;;;;;amnistje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;amocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amOS;;;;amOS;;;;;;;
169;amoindrir;;;;;;amwêdri;;;;;;;;;;;;;amwêdrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;amollir;;;;;;amOli;;;;;;;;;;;;amOlisE;amOlir;;;;;;;;;;;;;;;;;;amOli;;amOli;;amOli;;;;;;;
171;amonceler;;;;;;;;;;;;;;;;;amôs6lE;amôs6lE;;;;;;;;;;;amôs6lâ;;;;;;;;;;;amôsEl;;;;;;;;
172;amorcer;;;;;;;;;;;;;;;;;amOrsE;amOrsE;amOrse;;;;;;;;;amOrs;;;;;;;;amOrsô;amOrs;;;;amOrs;;;;;;;
173;amortir;;;;;;;;;;;;;;;;;;amOrtisE;amOrtir;;;;;;;;;;;;;;;;;;;;;;amOrti;;;amOrtis;;;;amOrtis
174;amouracher;;;;;;;;;;;;;;;;;;;;;;;;;;;;amuraS;;;;;;;;;;;amuraS;;;;;;;;;
175;amplifier;;;;;;âplifja;;;;;;;;;;;;âplifjE;âplifje;;;;;;;âplifjô;;âplifi;âplifjâ;;;;;;;;âplifi;;;;âplifi;;;;;;;
176;amputer;;;;;;;;âpyt6rE;;;;;;;;;;;âpyte;;;;;;;;;;âpytâ;;;;;;;;;;;;;;;;;;;
177;amuser;;;;;amyzEr;amyza;;;;;amyz6rô;amyz6ra;amyzjô;amyzE;amyzje;amyzE;amyzE;amyzE;amyze;;;;;;;amyzô;amyze;amyz;amyzâ;;;;amyz6rE;;amyz6rE;amyzô;amyz;amyze;amyz;amyz;amyz;;;amyz;;amyz;;amyz
178;améliorer;;;;;;;;;;;;amEljOr6ra;;;;;;;amEljOre;;;;;;;;amEljOre;amEljOr;;;;;;;;;amEljOr;amEljOre;;amEljOr;amEljOr;;;;;;;
179;aménager;;;;;;;;;;;;;;;;;;amEnaZE;amEnaZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;analyser;;;;;analizEr;;;;;;;;;analizE;;;;analizE;analize;;;;;;;analizô;analize;analiz;;;;;;;;analizô;analiz;analize;;;analiz;;;;;analiz;;
181;ancrer;;;;;;;;;;;;;;âkrE;;;;;âkre;;;;;;;;;;;;;;;;;;;;;;âkr;;;;;;;
182;anesthésier;;;;;;;;;;;;;;;;;;;;;;;;;;;anEstEzje;;anEstEzjâ;;;;;;;;;anEstEzje;;;;;;;;;;
183;angoisser;;;;;;;;;;;;;;;;;;âgwasE;âgwase;;;;;;;;;âgwas;;;;;;;;;âgwas;;;;âgwas;;;;;;;
184;animer;;;;;animEr;anima;;;;;;;;;;;animE;animE;anime;;;;;;;;;anim;animâ;;;;;;;;anim;;;anim;anim;;;;;;;
185;aniser;;;;;;;;;;;;;;;;;;;;;;;;;;;;aniz;;;;;;;;;;;;;;;;;;;;
186;annexer;;;;;;;;;;;;;;;;;anEksE;;;;;;;;;;;;;;;;;;;;anEks;;;;anEks;;;;;;;anEks
187;annihiler;;;;;;;;;;;;;;;;;;;aniile;;;;;;;;;;;;;;;;;;;;;;aniil;;;;;;;
188;annoncer;;anôsE;;;anôsEr;anôsa;;;;anôs6ra;;anôs6ra;;;;anôsE;anôsE;anôsE;anôse;;;;;;;anôsô;anôse;anôs;anôsâ;;;;;;;;anôs;anôse;anôs;anôs;anôs;;;;;;;
189;annoter;;;;;;;;;;;;;;anOtE;;;;;;;;;;;;;;;;;;;;;;;anOt;;;;;;;;;;;
190;annuler;;;;;;;;anyl6rE;;;;anyl6ra;;anylE;;anylE;;anylE;anyle;;;;;;;;anyle;anyl;anylâ;;;;;anyl6rE;anyl6rE;anylô;anyl;anyle;;anyl;anyl;;;;;;;
191;anoblir;;;;;;anObli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;anticiper;;;;;;;;;;;;âtisip6ra;;âtisipE;;;;;âtisipe;;;;;;;âtisipô;;âtisip;âtisipâ;;;;;;;;âtisip;;;;âtisip;;;;;;;
193;antidater;;;;;;;;;;;;;;;;;;;âtidate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;anéantir;;;;;;anEâti;;;;;anEâtirô;;;;;;;anEâtisE;anEâtir;;;;;;;;;anEâti;;;;;;;anEâtirE;;anEâti;;anEâti;anEâtis;anEâti;;;anEâtis;;;;
195;apaiser;;;;;apEzEr;apEza;;;;;;apEz6ra;;;;;apEzE;apEzE;apEze;;;;;;apEza;;;apEz;apEzâ;;;;;apEz6rE;apEz6rE;;apEz;;;apEz;apEz;;;;;;;
196;apercevoir;apErsym;apErsy;;;apErsyr;apErsy;;;apErs6vre;apErs6vra;apErs6vrô;apErs6vra;apErs6vjô;apErs6vE;;apErs6vE;apErs6vE;apErs6vE;apErs6vwar;;;;;;apErsy;;;apErswa;apErs6vâ;;;;;;apErs6vrE;;apErswa;apErs6ve;apErswa;apErswav;apErswa;;apErs6vjô;apErswav;;;;apErswav
197;apitoyer;;;;;;apitwaja;;;;;;;;;;;;;apitwaje;;;;;;;;apitwaje;;;;;;;;;apitwajô;apitwa;;;apitwa;;;;;;;;
198;aplanir;;;;;;;;;;;aplanirô;;;;;;;aplanisE;aplanir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;aplatir;;;;;;aplati;;;;;;;;;;;;aplatisE;aplatir;;;;;;;;;aplati;aplatisâ;;;;;;;;aplati;;;;aplati;;;;;;;
200;apostropher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;apOstrOf;;;apOstrOf;;;;;;;;
201;apparaître;;apary;;;aparyr;apary;;aparEtrE;;aparEtra;;aparEtra;;;;;aparEsE;aparEsE;aparEtr;;;;;aparys;;;aparEse;aparE;aparEsâ;;;;;aparEtrE;aparEtrE;;aparE;;aparE;aparEs;aparE;;;aparEs;;;;aparEs
202;appareiller;;;;;;;;;;;;;;;;;;;aparEje;;;;;;;aparEjô;;;;;;;;aparEj6rE;;;aparEj;;;;;;;;;;;
203;apparenter;;;;;;;;;;;;;;;;;aparâtE;aparâtE;;;;;;;;;;;;;;;;;;;;;;aparât;aparât;;;;;;;
204;apparier;;;;;;;;;;;;;;;;;;aparjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;appartenir;;;;;;apartê;;;;;;apartjêdra;apart6njô;apart6nE;;apart6nE;apart6nE;apart6nE;apart6nir;;;;;;apartê;apart6nô;apart6ne;apartjê;apart6nâ;;apartjêdrE;;apartjêdrE;apartjêdrE;apartjêdrE;apart6nô;apartjê;apart6ne;apartjê;apartjEn;apartjê;;;apartjEn;;;;apartjEn
206;appauvrir;;;;;;;;;;;;;;;;;;apOvrisE;;;;;;;;;;;;;;;;;;;;;;;apOvri;;;;;;;
207;appeler;;ap6lE;;;ap6lEr;ap6la;apEl6rô;apEl6rE;apEl6re;apEl6ra;apEl6rô;apEl6ra;ap6ljô;ap6lE;ap6lje;ap6lE;ap6lE;ap6lE;ap6le;;;;;;ap6la;ap6lô;ap6le;apEl;ap6lâ;;apEl6rE;apEl6rje;apEl6rE;apEl6rE;apEl6rE;ap6lô;apEl;ap6le;apEl;apEl;apEl;;;apEl;ap6lje;apEl;;apEl
208;appesantir;;;;;;ap6zâti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ap6zâti;;;;;;;;;;;
209;applaudir;;;;;aplOdir;aplOdi;;;;;;;;;;;aplOdisE;aplOdisE;aplOdir;;;;;aplOdis;;aplOdisô;aplOdise;aplOdi;aplOdisâ;;;;;;;aplOdisô;aplOdi;aplOdise;aplOdi;aplOdis;aplOdi;;;;;;;aplOdis
210;appliquer;;aplikE;;;;aplika;;;;;;aplik6ra;;aplikE;;aplikE;aplikE;aplikE;aplike;;;;;;;;aplike;aplik;aplikâ;;;;;;aplik6rE;aplikô;aplik;;aplik;aplik;aplik;;;;;;;
211;apponter;;;;;;;;;;;;;;;;;;;apôte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;apporter;;apOrtE;;;apOrtEr;apOrta;;apOrt6rE;;apOrt6ra;;apOrt6ra;;apOrtE;;apOrtE;apOrtE;apOrtE;apOrte;;;;;;;apOrtô;apOrte;apOrt;apOrtâ;;apOrt6rE;apOrt6rje;;apOrt6rE;apOrt6rE;apOrtô;apOrt;apOrte;apOrt;apOrt;apOrt;;;apOrt;;;;apOrt
213;apposer;;;;;;;;;;;;;;;;;;;apOze;;;;;;;;;apoz;;;;;;;;;apoz;;;;apoz;;;;;;;
214;apprendre;aprim;apri;;apri;;apri;aprâdrô;aprâdrE;aprâdre;aprâdra;aprâdrô;aprâdra;apr6njô;apr6nE;apr6nje;apr6nE;apr6nE;apr6nE;aprâdr;;;;;;;apr6nô;apr6ne;aprâ;apr6nâ;;aprâdrE;;aprâdrE;aprâdrE;aprâdrE;apr6nô;aprâ;apr6ne;aprâ;aprEn;aprâ;;;aprEn;apr6nje;aprEn;;aprEn
215;apprivoiser;;;;;aprivwazEr;;;aprivwaz6rE;;;;;;;;;;;aprivwaze;;;;;;;;aprivwaze;aprivwaz;;;;;;;;;aprivwaz;aprivwaze;;;;;;;;;;
216;approcher;aprOSam;aprOSE;;;aprOSEr;aprOSa;;aprOS6rE;aprOS6re;;;aprOS6ra;aprOSjô;aprOSE;;aprOSE;aprOSE;aprOSE;aprOSe;;;;;;aprOSa;aprOSô;aprOSe;aprOS;aprOSâ;;aprOS6rE;;;;;aprOSô;aprOS;aprOSe;aprOS;aprOS;aprOS;;;aprOS;;aprOS;;
217;approfondir;;;;;;;;;;;;;;;;;;;aprOfôdir;;;;;;;;;;;;;;;;;;;;;;aprOfôdi;;;;;;;
218;approprier;;;;;;;;;;;;;;;;;;;aprOprie;;;;;;;;;;;;;;;;;;;;;;aprOpri;;;;;;;aprOpri
219;approuver;;apruvE;;;;apruva;;;;;;;;;apruvje;;apruvE;apruvE;apruve;;;;;;;;apruve;apruv;apruvâ;;apruv6rE;;;;apruv6rE;;apruv;apruve;;apruv;apruv;;;;;;;apruv
220;approvisionner;;;;;;;;;;;;;;;;;;;aprOvizjOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;apprécier;;;;;aprEsjEr;aprEsja;;;aprEsire;;;aprEsira;;aprEsjE;;aprEsjE;aprEsjE;aprEsjE;aprEsje;;;;;;;aprEsjô;aprEsje;aprEsi;aprEsjâ;;aprEsirE;aprEsirje;aprEsirE;aprEsirE;aprEsirE;aprEsjô;aprEsi;aprEsje;aprEsi;aprEsi;aprEsi;;;;;;aprEsi;
222;appréhender;;;;;;;;;;;;;;aprEâdE;;aprEâdE;aprEâdE;aprEâdE;aprEâde;;;;;;;;;aprEâd;aprEâdâ;;;;;;;aprEâdô;aprEâd;;;aprEâd;aprEâd;;;;;;;aprEâd
223;apprêter;;aprEtE;;;;aprEta;;;;;;;aprEtjô;aprEtE;;aprEtE;aprEtE;aprEtE;aprEte;;;;;;;;;aprEt;aprEtâ;;;;;;;;aprEt;;;aprEt;aprEt;;;;;;;
224;appuyer;;apHiE;;;;apHia;;;;;;apHira;;apHiE;;;apHiE;apHiE;apHie;;;;;;;;apHie;apHi;apHiâ;;;;apHirE;;apHirE;apHiô;apHi;apHie;apHi;apHi;apHi;;;;;apHi;;
225;appâter;;;;;;;;;;;;;;;;;;;apate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;apurer;;;;;;;;;;;;;;;;;;;apyre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;arbitrer;;;;;;;;;;;;;;;;;;arbitrE;arbitre;;;;;;;;;arbitr;;;;;;;;;arbitr;;;;;;;;;;;
228;arborer;;;;;;arbOra;;;;;;;arbOrjô;;;;arbOrE;arbOrE;arbOre;;;;;;;;;;arbOrâ;;;;;;;;;;;arbOr;;;;;;;;
229;arc-bouter;;;;;;ark6buta;;;;;;;;;;ark6butE;;;;;;;;;;;;;ark6butâ;;;;;;;;ark6but;;;ark6but;ark6but;;;;;;;
230;archiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arSiv;;;;;;;
231;argenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arZât;;;;;;;
232;arguer;;;;;;arga;;;;;;;;;;;;;arge;;;;;;;;;;argâ;;;;;;;;;;;;;;;;;;;
233;argumenter;;;;;;;;;;;;;;;;;;;argymâte;;;;;;;;;argymât;;;;;;;;;argymât;argymâte;argymât;;argymât;;;;;;;
234;armer;;;;;;arma;;;;;;;;;;;;;arme;;;;;;;armô;arme;arm;armâ;;;;;;;;arm;arme;arm;;arm;;;;;arm;;
235;arnaquer;;;;;;;;;;;;;;;;;;arnakE;arnake;;;;;;;;;;arnakâ;;;;;;;;arnak;arnake;;;arnak;;;arnak;;;;
236;arpenter;;;;;;arpâta;;;;;;;;;;;;arpâtE;arpâte;;;;;;;;;;arpâtâ;;;;;;;;arpât;;;arpât;arpât;;;;;;;
237;arracher;;araSE;;;araSEr;araSa;;araS6rE;;;;araS6ra;;araSE;;araSE;araSE;araSE;araSe;;;;;;;;araSe;araS;araSâ;;araS6rE;;araS6rE;;araS6rE;;araS;araSe;araS;araS;araS;;;araS;;;;araS
238;arranger;;;;;;arâZa;arâZ6rô;arâZ6rE;;arâZ6ra;arâZ6rô;arâZ6ra;;;;arâZE;arâZE;arâZE;arâZe;;;;;;;;arâZe;arâZ;arâZâ;;arâZ6rE;;arâZ6rE;arâZ6rE;arâZ6rE;;arâZ;arâZe;;arâZ;arâZ;;;;;;arâZ;
239;arrimer;;;;;;;;;;;;;;arimE;;;;;arime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;arriver;arivam;arivE;;;arivEr;ariva;ariv6rô;ariv6rE;ariv6re;ariv6ra;ariv6rô;ariv6ra;arivjô;arivE;arivje;arivE;arivE;arivE;arive;;;;;;ariva;arivô;arive;ariv;arivâ;ariv6rjô;ariv6rE;ariv6rje;ariv6rE;ariv6rE;ariv6rE;arivô;ariv;arive;ariv;ariv;ariv;arive;;ariv;;;ariv;ariv
241;arroger;;;;;;;;;;;;;;;;;;;arOZe;;;;;;;;;;;;;;;;;;arOZ;;;;arOZ;;;;;;;
242;arrondir;;;;;;arôdi;;;;;;;;;;;arôdisE;arôdisE;arôdir;;;;;;;;;arôdi;arôdisâ;;;;;;;;;;arôdi;;arôdi;;;;;;;
243;arroser;;;;;;arOza;;;;;;;arOzjô;;arOzje;;arOzE;arOzE;arOze;;;;;;;arOzô;arOze;aroz;arOzâ;;;;;;;;aroz;arOze;;aroz;aroz;;;;;;;
244;arrêter;arEtam;arEtE;;;arEtEr;arEta;arEt6rô;arEt6rE;;arEt6ra;arEt6rô;arEt6ra;arEtjô;arEtE;arEtje;arEtE;arEtE;arEtE;arEte;;;;;;arEta;arEtô;arEte;arEt;arEtâ;arEt6rjô;arEt6rE;;arEt6rE;arEt6rE;arEt6rE;arEtô;arEt;arEte;arEt;arEt;arEt;;arEtjô;arEt;;arEt;arEt;arEt
245;articuler;;;;;;artikyla;;;;;;;;;;;;artikylE;artikyle;;;;;;;;;artikyl;artikylâ;;;;;;;;artikyl;artikyle;;;artikyl;;;;;;;
246;asperger;;;;;;aspErZa;;;;;;;;;;;aspErZE;;aspErZe;;;;;;;;;;aspErZâ;;;;;;;;aspErZ;aspErZe;;aspErZ;aspErZ;;;;;;;
247;asphalter;;;;;;;;;;;;;;;;;;;asfalte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;asphyxier;;;;;;;;;;;;;;;;;;;asfiksje;;;;;;;;;;;;;;;;;;;;;;asfiksi;;;;;;;
249;aspirer;;aspirE;;;;aspira;;;;;;;;aspirE;;;;aspirE;aspire;;;;;;aspira;;aspire;aspir;aspirâ;;;;;;;;aspir;aspire;aspir;aspir;aspir;;;;;;;
250;assagir;;;;;;asaZi;;;;;;;;;;;;;asaZir;;;;;;;;;;;;;;;;;;;;;;asaZi;;;;;;;
251;assaillir;;;;;;asaji;;;;;;;;;;;;asajE;asajir;;;;;;;;;;;;;;;;;;asaj;;;;asaj;;;;;;;
252;assainir;;;;;;;;;;;;;;;;;;;asEnir;;;;;;;;;;;;;;;;asEnirE;;;;;;;;;;;;;
253;assaisonner;;;;;;asEzOna;;;;;;;;;;;;asEzOnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;assassiner;;;;;;;;;;;;;;;;;;asasinE;asasine;;;;;;;;;asasin;asasinâ;;;;;;;;asasin;;;;asasin;;;;;;;
255;assembler;;;;;;asâbla;;;;;;;;;;;asâblE;asâblE;asâble;;;;;;;;asâble;asâbl;;;;;;;;;asâbl;;;asâbl;asâbl;;;;;;;
256;assener;;;;;;as6na;;;;;;;;;;;;;as6ne;;;;;;;;;asEn;;;;;;;;;asEn;;;;;;;;;;;
257;asseoir;asim;asi;;asi;asir;asi;;asjErE,aswarE;;;asjErô,aswarô;asjEra;asEjô;asEjE;;asEjE;asEjE;asEjE;aswar;;;;;;;asEjô;asEje,aswaje;asje,aswa;asEjâ;;asjErE,aswarE;;;;asjErE;asEjô;asje,aswa;asEje,aswaje;asje,aswa;asEj,aswa;asje,aswa;;;asEj,aswa;;asEj;;asEj
258;asservir;;;;;;;;;;;;;;;;;;;asErvir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;assigner;;;;;;;;;;;;;;;;;;asiJE;asiJe;;;;;;;;;asiJ;;;;;;;;;;;;;;;;;;;;
260;assimiler;;;;;;;;;;;;;;;;;;;asimile;;;;;;;;;asimil;asimilâ;;;;;;;;asimil;asimile;;;asimil;;;;;;;
261;assister;;asistE;;;asistEr;asista;asist6rô;;asist6re;;;asist6ra;asistjô;asistE;asistje;asistE;asistE;asistE;asiste;;;;;;;asistô;asiste;asist;asistâ;;;;;asist6rE;;asistô;asist;;;asist;asist;;;;;;;asist
262;assiéger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asjEZ;;;;;;;
263;associer;;;;;;;;asOsirE;;;;;;;;;asOsjE;asOsjE;asOsje;;;;;;;;;asOsi;asOsjâ;;;;;;;;asOsi;asOsje;;;asOsi;;;;;;;
264;assombrir;;;;;;asôbri;;;;;;;;;;;;asôbrisE;asôbrir;;;;;;;;;;asôbrisâ;;;;;;;;;;asôbri;;asôbri;;;;;;;
265;assommer;;;;;;asOma;;;;;;asOm6ra;;;;;asOmE;asOmE;asOme;;;;;;;asOmô;asOme;asOm;asOmâ;;;;asOm6rE;;asOm6rE;;asOm;asOme;;asOm;asOm;;;;;;;
266;assortir;;;;;;;;;;;;;;;;;;asOrtisE;asOrtir;;;;;;;;;;;;;;;;;;asOrti;;;;;;;;;;;
267;assoupir;;;;;;;;;;;;;;;;;;asupisE;asupir;;;;;;;;;;;;;;;;;;asupi;;asupi;asupis;asupi;;;;;;;
268;assouplir;;;;;;asupli;;;;;;;;;;;;;asuplir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;assourdir;;;;;;asurdi;;;;;;;;;;;;asurdisE;;;;;;;;;;;asurdisâ;;;;;;;;;;asurdi;;;;;;;;;
270;assouvir;;;;;;;;;;;;;;;;;;asuvisE;asuvir;;;;;;;;;;;;;;;;;;asuvi;;;asuvis;asuvi;;;;;;;
271;assujettir;;;;;;asyZEti;;;;;;;;;;;;;asyZEtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;assumer;;;;;asymEr;asyma;;;asym6re;asym6ra;;asym6ra;;;;;asymE;asymE;asyme;;;;;;;;;asym;asymâ;;;;;;asym6rE;asymô;asym;asyme;;asym;asym;;;;;;;asym
273;assurer;;asyrE;;;asyrEr;asyra;;asyr6rE;;;;asyr6ra;;asyrE;asyrje;asyrE;;asyrE;asyre;;;;;;asyra;asyrô;asyre;asyr;asyrâ;;asyr6rE;;;asyr6rE;asyr6rE;;asyr;asyre;asyr;asyr;asyr;;;;;asyr;;asyr
274;assécher;;;;;;;;;;;;;;;;;;asESE;asESe;;;;;;;;;asES;;;;;;;;;asES;;;;asES;;;;;;;
275;asticoter;;;;;;;;;;;;;;;;;;;astikOte;;;;;;;;;;;;;;;;;;astikOt;;;;astikOt;;;;;;;
276;astiquer;;;;;;;astik6rô;;;;;;;;;;;astikE;astike;;;;;;;;;astik;;;;;;;;;astik;;;;astik;;;;;;;
277;astreindre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;astrê;;;;;;;
278;atrophier;;;;;;;;;;;;;;;;;;atrOfjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;attabler;;;;;;;;;;;;;atabljô;;;;atablE;;atable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;attacher;;ataSE;;;;ataSa;;;;ataS6ra;;ataS6ra;;;ataSje;ataSE;ataSE;ataSE;ataSe;;;;;;;;ataSe;ataS;ataSâ;;;;ataS6rE;;ataS6rE;ataSô;ataS;ataSe;ataS;ataS;ataS;;;;ataSje;;;
281;attaquer;atakam;;;;atakEr;ataka;atak6rô;atak6rE;;atak6ra;atak6rô;atak6ra;;atakE;;atakE;atakE;atakE;atake;;;;;;ataka;atakô;atake;atak;atakâ;;;;;atak6rE;;atakô;atak;atake;atak;atak;atak;;;;;;atak;atak
282;attarder;;;;;atardEr;atarda;;;;;;;;;;;atardE;atardE;atarde;;;;;;;atardô;;atard;;;;;;;;;atard;atarde;;atard;atard;;;atard;;;;
283;atteindre;atEJim;;;;atEJir;atEJi;atêdrô;;;;atêdrô;atêdra;;atEJE;;atEJE;atEJE;atEJE;atêdr;;;;;;;atEJô;atEJe;atê;atEJâ;;;;;atêdrE;atêdrE;atEJô;atê;;atê;atEJ;atê;;;atEJ;;;;atEJ
284;atteler;;at6lE;;;at6lEr;;;;;;;;;at6lE;;;at6lE;at6lE;at6le;;;;;;;;;atEl;at6lâ;;;;;;;;atEl;;;;atEl;;;;;;;atEl
285;attendre;;atâdi;;;atâdir;atâdi;atâdrô;atâdrE;atâdre;atâdra;atâdrô;atâdra;atâdjô;atâdE;atâdje;atâdE;atâdE;atâdE;atâdr;;;;;;;atâdô;atâde;atâ;atâdâ;;atâdrE;;atâdrE;atâdrE;atâdrE;atâdô;atâ;atâde;atâ;atâd;atâ;;;atâd;atâdje;atâd;;atâd
286;attendrir;;;;;atâdrir;atâdri;;;;;;;;;;;;atâdrisE;atâdrir;;;;;;;;;atâdri;;;;;;;;;atâdri;;atâdri;atâdris;atâdri;;;;;;;
287;attenter;;;;;;;;;;;;;;;;;;;atâte;;;;;;;;atâte;;;;;;;;;;atât;;;;;;;;;;;
288;atterrir;;;;;atErir;atEri;;;;atErira;;atErira;;;;;atErisE;;atErir;;;;;;;;;atEri;;;atErirE;;;;;;atEri;;atEri;atEris;atEri;;;atEris;;;;
289;attester;;;;;;;;;;;;;;;;;;atEstE;atEste;;;;;;;;;;atEstâ;;;;;;;;atEst;;;atEst;atEst;;;;;;;
290;attifer;;;;;;atifa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;attirer;;atirE;;;atirEr;atira;;;;;;atir6ra;;atirE;;atirE;atirE;atirE;atire;;;;;;atira;;atire;atir;atirâ;;;;;atir6rE;;;atir;;atir;atir;atir;;;;;;;
292;attiser;;;;;;;;;;;;;;;;;;;atize;;;;;;;;;atiz;;;;;;;;;atiz;;;;;;;;;;;
293;attraper;;atrapE;;;;atrapa;;atrap6rE;;atrap6ra;atrap6rô;atrap6ra;;;;atrapE;atrapE;atrapE;atrape;;;;;;;atrapô;atrape;atrap;atrapâ;;;;;;;atrapô;atrap;atrape;atrap;atrap;atrap;;;;;atrap;;atrap
294;attribuer;;atribyE;;;atribyEr;atribya;;;;;;atribyra;;atribyE;;;atribyE;atribyE;atribye;;;;;;atribya;;;atriby;atribyâ;;atribyrE;;;;;;atriby;;atriby;;atriby;;;;;;;
295;attrister;;;;;;atrista;;;;;;;;;;;;atristE;atriste;;;;;;;;;;atristâ;;;;;;;;atrist;;;atrist;atrist;;;;;;;
