;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
1053;décapsuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkapsyl;;;;;;;;;;;;;;
1054;décapuchonner;;;;;;dEkapySOna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1055;décarrer;;;;;;;;;;;;;;;;;dEkarE;;;;;;;;;;dEkar;dEkarâ;;;;;;;;dEkar;;;;dEkar;;;;;;;;;;
1056;déceler;;dEs6lE;;;;;;;;;;;;;;;;;dEs6le;;;;;;;;;;;;;;;;;dEsEl;;dEsEl;;;;dEs6le;;dEs6le;;;;;;
1057;décentrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsâtr;;;;;;;;;;
1058;décerner;;;;;;;;;;;;;;;;;;dEsErnE;;;;;;;;;;dEsErnâ;;;;;;;dEsErnô;;;;dEsErn;dEsErn;dEsErne;dEsErne;dEsErne;;;;;;;
1059;décerveler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsErvEl;;;;;;;;;;
1060;décesser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsEse;;;;;;
1061;décevoir;;dEsy;;;;;;;;dEs6vra;;;;;;;dEs6vE;dEs6vE;dEs6vwar;;;;;;;dEs6ve;dEswa;;;;;;;dEs6vrE;;dEswa;dEs6ve;dEswa;dEswav;dEswa;;dEsy;dEsy;dEsy;;;;;;dEswav
1062;déchanter;;;;;;;;;;;;;;;;;;;dESâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1063;décharger;;;;;;dESarZa;;;;;;dESarZ6ra;;;;;dESarZE;;dESarZe;;;;;;;;dESarZ;dESarZâ;;;;;;;;dESarZ;;;;dESarZ;;;dESarZe;dESarZe;;;;;;
1064;décharner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dESarn;;;dESarne;dESarne;;;;;;
1065;déchausser;;;;;;;;;;;;;;;;;;;dESOse;;;;;;;;dESos;;;;;;;;;;dESOse;;;;;dESOse;;;;;;;;
1066;déchaîner;;;;;;;;;;;;;;;;;dESEnE;dESEnE;dESEne;;;;;;;dESEne;dESEn;;;;;;;;;;;;dESEn;dESEn;;dESEne;;dESEne;;;;;;
1067;déchiffrer;;;;;;;;;;;;dESifr6ra;;;;dESifrE;;;dESifre;;;;;dESifra;;;;;;;;;;;;dESifr;;;;;;dESifre;dESifre;dESifre;;;;;;
1068;déchiqueter;;;;;;;;;;;;;;;;;;;dESik6te;;;;;;;;;dESik6tâ;;;;;;;;;;;;;;dESik6te;dESik6te;dESik6te;;;;;;
1069;déchirer;;dESirE;;;dESirEr;dESira;;;;;;;dESirjô;dESirE;;;dESirE;;dESire;;;;;;;dESire;dESir;dESirâ;;dESir6rE;;dESir6rE;;;dESirô;dESir;dESire;dESir;;dESir;dESire;dESire;dESire;dESire;;;;;;
1070;déchoir;;;;;;;;;;;;;;;;;;;dESwar;;;;;;;;;;;;;;;;;;;;;;;dESy;;dESy;;;;;;
1071;décider;dEsidam;dEsidE;;;dEsidEr;dEsida;;dEsid6rE;;dEsid6ra;dEsid6rô;dEsid6ra;;dEsidE;;;dEsidE;dEsidE;dEside;;;;;dEsida;dEsidô;dEside;dEsid;dEsidâ;;;;;dEsid6rE;dEsid6rE;;dEsid;dEside;dEsid;dEsid;dEsid;dEside;dEside;dEside;dEside;;dEsid;;;;dEsid
1072;décimer;;;;;;;;;;;;;;;;;;dEsimE;;;;;;;;;;;;;;;;dEsim6rE;;dEsim;;;;;;dEsime;dEsime;dEsime;;;;;;
1073;déclamer;;;;;;;;;;;;;;;;;;dEklamE;dEklame;;;;;;;;dEklam;;;;;;;;;dEklam;;;;;;;;dEklame;;;;;;
1074;déclarer;;dEklarE;;;dEklarEr;dEklara;;;;;;;;dEklarE;;;;dEklarE;dEklare;;;;;;dEklarô;dEklare;dEklar;dEklarâ;;;;;;;dEklarô;dEklar;;;dEklar;dEklar;;dEklare;;dEklare;;;;;;
1075;déclasser;;;;;;;;;;;;;;;;;;;dEklase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1076;déclencher;;;;;dEklâSEr;dEklâSa;;;;;;dEklâS6ra;;;;;;dEklâSE;dEklâSe;;;;;;;;dEklâS;;;;;;;;;dEklâS;dEklâSe;;dEklâS;dEklâS;;dEklâSe;;dEklâSe;;;;;;
1077;décliner;;dEklinE;;;;;;;;;;;dEklinjô;;;;;dEklinE;dEkline;;;;;;;;dEklin;;;;;;;;;dEklin;;;;dEklin;;;;dEkline;;;;;;
1078;décocher;;;;;;dEkOSa;;;;;;;;;;;;dEkOSE;;;;;;;;;dEkOS;;;;;;;;;;;;;dEkOS;;;;;;;;;;
1079;décoder;;;;;;;;;;;;;;;;;;;dEkOde;;;;;;;;;;;;;;;;;dEkOd;;;;;;;;dEkOde;;;;;;
1080;décoffrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkOfre;;;;;;;
1081;décoiffer;;;;;;;;;;;;;;;;;;;dEkwafe;;;;;;;;;;;;;;;;;;;;;;;dEkwafe;;dEkwafe;;;;;;
1082;décoincer;;;;;;;;;;;;;;;;;;;dEkwêse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1083;décoller;;;;;;dEkOla;;;;;;;;;;;;dEkOlE;dEkOle;;;;;;;dEkOle;dEkOl;dEkOlâ;;;;;;;;dEkOl;dEkOle;dEkOl;dEkOl;dEkOl;dEkOle;;dEkOle;dEkOle;;;;;;
1084;décolleter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkOl6te;;;;;;;;
1085;décolorer;;;;;;;;;;;;;;;;;;;dEkOlOre;;;;;;;;;dEkOlOrâ;;;;;;;;dEkOlOr;;;;dEkOlOr;;;dEkOlOre;;;;;;;
1086;décommander;;dEkOmâdE;;;;;;;;;;;;;;;;;dEkOmâde;;;;;;;;dEkOmâd;;;;;;;;;dEkOmâd;;;;;;;;;;;;;;
1087;décomposer;;;;;;;;;;;;dEkôpOz6ra;;;;;;dEkôpOzE;dEkôpOze;;;;;;;;dEkôpoz;dEkôpOzâ;;;;;;;;dEkôpoz;;;dEkôpoz;;;;;;;;;;;
1088;décompresser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkôprEs;;;;;;;;;;;;;;
1089;déconcerter;;;;;;dEkôsErta;;;;;;;;;;;;dEkôsErtE;;;;;;;;;dEkôsErt;dEkôsErtâ;;;;;;;;dEkôsErt;;;;dEkôsErt;;dEkôsErte;dEkôsErte;dEkôsErte;;;;;;
1090;décongeler;;;;;;;;;;;;;;;;;;;dEkôZ6le;;;;;;;;;;;;;;;;;;;;;;;;;dEkôZ6le;;;;;;
1091;décongestionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkôZEsjOn;;;;;;;;;;
1092;déconnecter;;;;;;;;;;;;;;;;;;;dEkOnEkte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1093;déconner;;;;;;;;;;;;;;;;dEkOnE;;dEkOnE;dEkOne;;;;;;;dEkOne;dEkOn;;;;;;;;;dEkOn;dEkOne;dEkOn;dEkOn;dEkOn;;;;;;;;dEkOn;;
1094;déconseiller;;;;;;dEkôsEja;;;;;;;;;;;;;;;;;;;;;;dEkôsEjâ;;;;;;;;dEkôsEj;;;;dEkôsEj;;;;dEkôsEje;;;;;;
1095;déconsidérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkôsidErâ;;;;;;;;;;;;;;;;;;;;;;
1096;déconstiper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkôstip;;;;;;;;;;
1097;décontenancer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkôt6nâse;;dEkôt6nâse;;;;;;
1098;décontracter;;;;;;;;;;;;;;;;;dEkôtraktE;;;;;;;;;;;dEkôtraktâ;;;;;;;;;;;;;;;;dEkôtrakte;;;;;;
1099;décorer;;;;;dEkOrEr;dEkOra;;;;;;;;;;;;;dEkOre;;;;;;;;dEkOr;dEkOrâ;;;;;;dEkOr6rE;;dEkOr;;;dEkOr;dEkOr;dEkOre;;dEkOre;dEkOre;;;;;;
1100;décortiquer;;;;;;;;;;;;;;;;;;;dEkOrtike;;;;;;;;;;;;;;;;;;;;;dEkOrtik;;;;;;;;;;dEkOrtik
1101;découdre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkuzy;;;;;;
1102;découler;;;;;;;;;;;;;;;;;;dEkulE;dEkule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103;découper;;;;;;dEkupa;;dEkup6rE;;;;;;;;;dEkupE;dEkupE;dEkupe;;;;;;;;dEkup;dEkupâ;;;;;dEkup6rE;;dEkupô;dEkup;;dEkup;dEkup;dEkup;dEkupe;dEkupe;dEkupe;dEkupe;;;;;;
1104;décourager;;;;;;;;;;;;;;;;;;dEkuraZE;dEkuraZe;;;;;;;;dEkuraZ;;;dEkuraZ6rE;;;;;;dEkuraZ;;;;;;dEkuraZe;;dEkuraZe;;;;;;
1105;découvrir;;dEkuvri;;;dEkuvrir;dEkuvri;dEkuvrirô;;;dEkuvrira;dEkuvrirô;dEkuvrira;dEkuvriô;dEkuvrE;;dEkuvrE;dEkuvrE;dEkuvrE;dEkuvrir;;;;;;dEkuvrô;dEkuvre;dEkuvr;dEkuvrâ;;dEkuvrirE;;;;dEkuvrirE;dEkuvrô;dEkuvr;dEkuvre;;dEkuvr;dEkuvr;;;dEkuvEr;dEkuvEr;;;;;dEkuvr;dEkuvr
1106;décrasser;;;;;;;;;;;;;;;;;;dEkrasE;;;;;;;;;dEkras;;;;;;;;;;;;;;;;;;;;;;;
1107;décrier;;;;;;;;;;;;;;;;;;;dEkrie;;;;;;;dEkrie;;;;;;;;;;;;;;;;dEkrie;;;;;;;;
1108;décrire;;;;;dEkrivir;dEkrivi;;;;;;;;dEkrivE;;;dEkrivE;dEkrivE;dEkrir;;;;;;;dEkrive;dEkri;dEkrivâ;;;;dEkrirE;;dEkrirE;;dEkri;dEkrive;dEkri;;dEkri;dEkrit;dEkrit;dEkri;dEkri;;dEkriv;;;;
1109;décrisper;;;;;;;;;;;;;;;;;;;dEkrispe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1110;décrocher;;;;;;dEkrOSa;;;;;;dEkrOS6ra;;dEkrOSE;;dEkrOSE;;dEkrOSE;dEkrOSe;;;;;;;dEkrOSe;dEkrOS;;;;;;;;;dEkrOS;dEkrOSe;;;dEkrOS;;;;dEkrOSe;;;;;;
1111;décroiser;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkrwaz;dEkrwazâ;;;;;;;;;;;;dEkrwaz;;;;;;;;;;
1112;décroître;;;;;;dEkry;;;;;;;;;;;;dEkrwasE;dEkrwatr;;;;;;;;;dEkrwasâ;;;;;;;;;;;;;;;;;;;;;;
1113;décrypter;;;;;;;;;;;;;;;;;;;dEkripte;;;;;;;;;;;;;;;;;;;;;dEkript;;;;;;;;;;
1114;décrépir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkrEpi;dEkrEpi;;;;;;
1115;décréter;;;;;;dEkrEta;;;;;;;;;;;;;;;;;;;;dEkrEte;dEkrEt;dEkrEtâ;;;;;;;dEkrEtô;dEkrEt;;;;;;;;dEkrEte;;;;;;
1116;déculotter;;;;;;;;;;;;;;;;;;;dEkylOte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1117;décupler;;;;;;dEkypla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkypl;dEkyple;;dEkyple;;;;;;;
1118;décéder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsEde;dEsEde;dEsEde;;;;;;
1119;dédaigner;;;;;;;;;;;;;;;;;dEdEJE;dEdEJE;dEdEJe;;;;;;;;dEdEJ;dEdEJâ;;;;;;;;dEdEJ;;dEdEJ;;dEdEJ;;dEdEJe;;dEdEJe;;;;;;
1120;dédicacer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEdikas;;;;
1121;dédier;;;;;;;;;;;;;;;;;;dEdjE;dEdje;;;;;;;;dEdi;;;;;;;;;dEdi;;;;dEdi;;dEdje;;dEdje;;;;;;
1122;dédommager;;;;;;;;dEdOmaZ6rE;;;;;;;;;;dEdOmaZE;dEdOmaZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123;dédouaner;;;;;;;;;;;;;;;;;;;dEdwane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1124;dédoubler;;;;;;;;;;;;;;;;;;;dEduble;;;;;;;;;;;;;;;;;;;;;dEdubl;;;;;;;;;;
1125;déduire;;;;;;;;dEdHirE;;;;;;;;;;dEdHizE;dEdHir;;;;;;;;dEdHi;;;;;;;;;dEdHi;;dEdHi;dEdHiz;dEdHi;;;dEdHi;dEdHi;;;;;;
1126;défaillir;;;;;;;;;;;;;;;;;;dEfajE;dEfajir;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfaj;;;;dEfaj
1127;défaire;;;;;;dEfi;;;;;;dEf6ra;;;;;dEf6zE;dEf6zE;dEfEr;;;;;;;dEfEt;dEfE;dEf6zâ;;;;;;dEf6rE;;dEfE;dEfEt;;;dEfE;;;dEfE;dEfE;;;;;;
1128;défalquer;;;;;;;;;;;;;;;;;;;dEfalke;;;;;;;;;;;;;;;;;;;;;;;;;dEfalke;;;;;;
1129;défendre;;;;;;;;dEfâdrE;dEfâdre;;dEfâdrô;;;dEfâdE;dEfâdje;;dEfâdE;dEfâdE;dEfâdr;;;;;;dEfâdô;dEfâde;dEfâ;dEfâdâ;;;;;dEfâdrE;dEfâdrE;dEfâdô;dEfâ;dEfâde;dEfâ;dEfâd;dEfâ;dEfâdy;dEfâdy;dEfâdy;dEfâdy;;dEfâd;;dEfâd;;
1130;défenestrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEf6nEstre;;;;;;
1131;déferler;;;;;;dEfErla;;;;;;;;;;;dEfErlE;dEfErlE;dEfErle;;;;;;;;dEfErl;dEfErlâ;;;;;;;;;;;dEfErl;dEfErl;;;;dEfErle;;;;;;
1132;défier;;;;;;dEfja;;;;;;;;;;;;dEfjE;dEfje;;;;;;dEfjô;dEfje;dEfi;dEfjâ;;;;;;;dEfjô;dEfi;dEfje;;;dEfi;;;;dEfje;;;;;;
1133;défigurer;;;;;;;;;;;;;;;;;;;dEfigyre;;;;;;;;dEfigyr;;;;;;;;;;;;;dEfigyr;;dEfigyre;dEfigyre;dEfigyre;;;;;;
1134;défiler;;;;;dEfilEr;dEfila;;;;;;;;;;;dEfilE;dEfilE;dEfile;;;;;;;dEfile;dEfil;dEfilâ;;;;;;;;dEfil;;;dEfil;dEfil;;;dEfile;dEfile;;;;;;
1135;définir;;;;;;dEfini;;;;;;dEfinira;;;;;;dEfinisE;dEfinir;;;;;;;dEfinise;dEfini;;;;;;;;;;;;;dEfini;;dEfini;dEfini;dEfini;;;;;;
1136;déflorer;;;;;;;;;;;;;;;;;;;dEflOre;;;;;;;;;;;;;;;;;;;;;;;dEflOre;;dEflOre;;;;;;
1137;défoncer;;;;;;;;;;;;;;;;;;;dEfôse;;;;;;;;dEfôs;;;;;;;;;dEfôs;;;;dEfôs;;;;dEfôse;;;;;;
1138;déformer;;;;;;dEfOrma;;;;;;;;;;;;dEfOrmE;dEfOrme;;;;;;;dEfOrme;dEfOrm;dEfOrmâ;;;;;;;;dEfOrm;dEfOrme;;;dEfOrm;;dEfOrme;dEfOrme;;;;;;;
1139;défouler;;;;;;;;;;;;;;;;;;;dEfule;;;;;;;;dEful;;;;;;;;;dEful;;;;dEful;;;;;;;;;;
1140;défrayer;;;;;;;;;;;;;;;;;;dEfrEjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1141;défraîchir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfrESi;dEfrESi;;;;;;;;
1142;défricher;;;;;;;;;;;;;;;;;;dEfriSE;dEfriSe;;;;;;;;;;;;;;;;;dEfriS;;;;dEfriS;;;;;;;;;;
1143;défriser;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfriz;;;;;;;;;;;;;;;;;;;;;;;
1144;défroisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfrwasâ;;;;;;;;;;;;;;;;;;;;;;
1145;déféquer;;;;;;;;;;;;;;;;;;;dEfEke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146;déférer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfEre;;;;;;
1147;dégager;;;;;;dEgaZa;;;;;;;;;;;;dEgaZE;dEgaZe;;;;;;dEgaZô;dEgaZe;dEgaZ;dEgaZâ;;;;dEgaZ6rE;;;dEgaZô;dEgaZ;dEgaZe;dEgaZ;;dEgaZ;;dEgaZe;;dEgaZe;;;;dEgaZ;;dEgaZ
1148;dégainer;;;;;;;;;;;;;;;;;;;dEgEne;;;;;;;;dEgEn;dEgEnâ;;;;;;;;dEgEn;;;;dEgEn;;;;dEgEne;;;;;;
1149;déganter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgâte;;;;;;;;
1150;dégauchir;;;;;;;;;;;;dEgOSira;;;;;;;dEgOSir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1151;dégazer;;;;;;;;;;;;;;;;;;;dEgaze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1152;dégeler;;;;;;;;;;;;;;;;;;;dEZ6le;;;;;;;;;;;;;;;;;dEZEl;;;;dEZEl;;;;;;;;;;
1153;déglinguer;;;;;;dEglêga;;;;;;;;;;;;;dEglêge;;;;;;;;dEglêg;dEglêgâ;;;;;;;;dEglêg;;;;dEglêg;;;;;;;;;;
1154;déglutir;;;;;;dEglyti;;;;;;;;;;;;;dEglytir;;;;;;;;;;;;;;;;;;;;;dEglyti;;;;;;;;;;
1155;dégobiller;;;;;;;;;;;;;;;;;;;dEgObije;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1156;dégoiser;;;;;;;;;;;;;;;;;;;dEgwaze;;;;;;;;dEgwaz;;;;;;;;;;;;;dEgwaz;;;;;;;;;;
1157;dégommer;;;;;;;;;;;;;;;;;;dEgOmE;dEgOme;;;;;;;;dEgOm;;;;;;;;;dEgOm;;;;dEgOm;;;;dEgOme;;;;;;
1158;dégonfler;;;;;;;;;;;;;;;;;;;dEgôfle;;;;;;;;dEgôfl;;;;;;;dEgôfl6rE;;dEgôfl;;dEgôfl;;dEgôfl;;;;dEgôfle;;;;;;
1159;dégorger;;;;;;;;;;;;;;;;;dEgOrZE;;;;;;;;;;;;;;;;;;;;;;;;dEgOrZe;;;;;;;;;
1160;dégoter;;;;;;;;;;;;;;;;;;;dEgOte;;;;;;;;;;;;;;;;;;;;;;;;;dEgOte;;;;;;
1161;dégotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgOt;;;;;;;;dEgOte;;;;;;
1162;dégouliner;;;;;dEgulinEr;;;;;;;;;;;;;dEgulinE;dEguline;;;;;;;;dEgulin;dEgulinâ;;;;;;;;dEgulin;;;;dEgulin;;;;;;;;;;
1163;dégoupiller;dEgupijam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgupij;;dEgupije;;;;;;;;
1164;dégourdir;;;;;;;;;;;;;;;;;;;dEgurdir;;;;;;;;;;;;;;;;;dEgurdi;;;;;;;;;;;;;;
1165;dégoutter;;;;;;;;;;;;;;;;;dEgutE;dEgutE;;;;;;;;;;;;;;;;;;dEgut;;;;;;;;;;;;;;
1166;dégoûter;;;;;;;;;;;;;;;;;;dEgutE;dEgute;;;;;;;;dEgut;dEgutâ;;dEgut6rE;;;;dEgut6rE;;dEgut;dEgute;dEgut;dEgut;dEgut;;dEgute;;dEgute;;;;;;
1167;dégrader;;;;;;;;;;;;;;;;;;dEgradE;dEgrade;;;;;;;;;;;;;;;;;dEgrad;;dEgrad;;dEgrad;;;;;;;;;;
1168;dégrafer;;;;;;dEgrafa;;;;;;;;;;;;;dEgrafe;;;;;;;;dEgraf;dEgrafâ;;;;;;;;dEgraf;;;;dEgraf;;;;dEgrafe;;;;;;
1169;dégraisser;;;;;;;;;;;;;;;;;;;dEgrEse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1170;dégringoler;;dEgrêgOlE;;;;;;;;;;;;;;;dEgrêgOlE;;dEgrêgOle;;;;;;;;;;;;;;;;;dEgrêgOl;;;;dEgrêgOl;;;;dEgrêgOle;;;;;;
1171;dégriser;;;;;;dEgriza;;;;;;;;;;;;dEgrizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1172;dégrossir;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgrOsisâ;;;;;;;;;;;;;;;;;;;;;;
1173;déguerpir;;;;;dEgErpir;;;;;;;;;;;;;;;;;;;;;;dEgErpi;;;;;;;;;dEgErpi;dEgErpise;dEgErpi;dEgErpis;;;;;;;;;;;
1174;dégueuler;;;;;;;;;;;;;;;;;;;dEg6le;;;;;;;;dEg9l;;;;;;;;;;;;;dEg9l;;;;;;;;;;
1175;déguiser;;;;;;dEgiza;;;;;;;;;;;;dEgizE;dEgize;;;;;;;dEgize;;;;;;;;dEgiz6rE;;dEgiz;;dEgiz;;dEgiz;;dEgize;dEgize;dEgize;;;;;;
1176;déguster;;;;;;;;;;;;;;;;dEgystE;;dEgystE;dEgyste;;;;;;;;dEgyst;dEgystâ;;;;;;;;dEgyst;;;;;;;;;;;;;;
1177;dégénérer;;;;;;;;;;;;;;;;;;;dEZEnEre;;;;;;;;dEZEnEr;;;;;;;;;;;;;;;;;;;;;;;
1178;déhancher;;;;;;;;;;;;;;;;;;;;;;;;;;;dEâS;dEâSâ;;;;;;;;dEâS;;;;dEâS;;dEâSe;;;;;;;;
1179;déifier;;;;;;dEifja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1180;déjanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEZât;;;;;;;;;;;;;;
1181;déjeuner;;dEZ6nE;;;dEZ6nEr;;;;;;;;dEZ6njô;dEZ6nE;;;;dEZ6nE;dEZ6ne;;;;;;;;dEZ9n;;;;;;;;dEZ6nô;dEZ9n;;dEZ9n;dEZ9n;dEZ9n;;;;;;;;;;dEZ9n
1182;déjouer;;;;;;;;;;;;;;;;;;;dEZue;;;;;;;;;;;;;;;;;dEZu;;;;;;dEZue;;dEZue;;;;;;
1183;délabrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dElabre;;;;;;
1184;délacer;;;;;;;;;;;;;;;;;;dElasE;;;;;;;;;;dElasâ;;;;;;;;;;;;;;;;;;;;;;
1185;délaisser;;;;;;;;;;;;;;;;;;;;;;;;;;;dElEs;dElEsâ;;;;;;;;dElEs;;;;dElEs;;;;dElEse;;;;;;
1186;délasser;;;;;;;;;;;;;;;;;;;dElase;;;;;;;;dElas;;;;;;;;;dElas;;;;dElas;;;;;;;;;;
1187;délaver;;;;;;;;;;;;;;;;;;dElavE;;;;;;;;;;;;;;;;;;;;;;;;;dElave;dElave;;;;;;
1188;délayer;;;;;;dElEja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dElEje;;;;;;;
1189;délecter;;;;;;;;;;;;;;dElEktE;;;;dElEktE;;;;;;;;;dElEkt;;;;;;;;;;;;dElEkt;dElEkt;;;;;;;;;;
1190;délester;;;;;;;;;;;;;;;;;;;dElEste;;;;;;;;;;;;;;;;;;;;;;;dElEste;dElEste;dElEste;;;;;;
1191;délibérer;;;;;;;;;;;;;;;;;;dElibErE;dElibEre;;;;;;;;;;;;;;;;;dElibEr;;;;;;;;;;;;;;
1192;délier;;;;;;dElja;;;;;;;;;;;;;dElje;;;;;;;;dEli;;;;;;;;;dEli;;;;;;dElje;;;;;;;;
1193;délimiter;;;;;;;;;;;;;;;;;;dElimitE;;;;;;;;;dElimit;;;;;;;;;;;;;;;dElimite;;dElimite;;;;;;
1194;délirer;;;;;;;;;;;;;;;;dElirE;;dElirE;dElire;;;;;;;dElire;dElir;;;;;;;;;dElir;dElire;dElir;;dElir;;;;;;;;;;
1195;délivrer;;;;;;;;;;;;dElivr6ra;;;;;dElivrE;;dElivre;;;;;;;;dElivr;dElivrâ;;;;;;;;dElivr;dElivre;;dElivr;dElivr;dElivre;;dElivre;dElivre;;;;;;
1196;déloger;;;;;;;;;;;;;;;;;;;dElOZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1197;délurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dElyre;;;;;;;;
1198;déléguer;;;;;;dElEga;;;;;;;;;;;;;dElEge;;;;;;;;dElEg;dElEgâ;;;;;;;;;;;;dElEg;;;dElEge;dElEge;;;;;;
1199;démagnétiser;;;;;;;;;;;;;;;;;;;dEmaJEtize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1200;démanger;;;;;;;;;;;;;;;;;;dEmâZE;dEmâZe;;;;;;;;dEmâZ;;;;;;;;;dEmâZ;;;dEmâZ;dEmâZ;;;;;;;;;;
1201;démanteler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEmât6le;;;dEmât6le;;;;;;
1202;démantibuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEmâtibyle;;;dEmâtibyle;;;;;;
1203;démaquiller;;;;;;;;;;;;;;;;;;;dEmakije;;;;;;;;;;;;;;;;;dEmakij;;;;;;;;;;;;;;
1204;démarcher;;;;;;;;;;;;;;;;;;dEmarSE;;;;;;;;;;;;;;;;;;dEmarS;;;;;;;;;;;;;;
1205;démarquer;;;;;;;;;;;;;;;;;;;dEmarke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1206;démarrer;;;;;;dEmara;;;;;;;;;;dEmarE;;dEmarE;dEmare;;;;;;dEmarô;;dEmar;dEmarâ;;;;;;;;dEmar;;;dEmar;dEmar;;;;dEmare;;;;;;
1207;démasquer;;;;;;dEmaska;;dEmask6rE;;;;;;;;;;;dEmaske;;;;;;;;dEmask;;;;;;;;;dEmask;;;;;;dEmaske;dEmaske;dEmaske;;;;;;dEmask
1208;démembrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEmâbrâ;;;;;;;;;;;;;;;dEmâbre;;;;;;;
1209;démener;;;;;;dEm6na;;;;;;;;;;;;;dEm6ne;;;;;;;;dEmEn;;;;;;;;;dEmEn;;;;;;;;;;;;;;
1210;démentir;;;;;;;;;;;;;;;;;dEmâtE;dEmâtE;;;;;;;;;;;;;;;;;;;;;;;dEmâti;;;;;;;;;
1211;démerder;;;;;;;;;;;;;;;;;;;dEmErde;;;;;;;;dEmErd;;;;;;;;;;dEmErde;dEmErd;;dEmErd;;;;dEmErde;;;;;;
