;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
1579;magnétiser;;;;;;;;;;;;;;;;;;maJEtizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1580;maigrir;;;;;;mEgri;;;;;;;;;;;;mEgrisE;;;;;;mEgrise;;;;;;;;;;;mEgrise;;;;;;mEgri;mEgri;;;;;;
1581;maintenir;;;;;;;;;;;;;;;;mêt6nE;;mêt6nE;mêt6nir;;;;;;;mêt6nâ;;;;;;;mêt6nô;;;mêtjê;mêtjEn;mêtjê;mêt6ny;mêt6ny;;mêt6ny;;;;;;
1582;malaxer;;;;;;;;;;;;;;;;;;;;;;;;malakse;;;;;;;;;;malaks;;;;;;;;;;;;;;
1583;malmener;;;;;;;;;;;;;;;;;;;malm6ne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1584;maltraiter;;;;;;;;;;;;;;;;;maltrEtE;;;;;;;;;maltrEtâ;;;;;;;;maltrEt;;;;;;;;;;;;;;
1585;mander;;;;;;;;;;;;;;;;;;;;;;;;;mâd;;;;;;;;;mâd;;;;mâd;;;;;;;;;;
1586;manger;;;;;mâZEr;mâZa;;mâZ6rE;;mâZ6ra;;;;mâZE;;;;mâZE;mâZe;;;;;mâZe;mâZ;mâZâ;;;;;mâZ6rE;mâZ6rE;mâZô;mâZ;mâZe;mâZ;mâZ;mâZ;;mâZe;;mâZe;;;;mâZ;mâZ;mâZ
1587;manier;;;;;;;;;;;;;;;;;;;manje;;;;;;mani;manjâ;;;;;;;;mani;;;mani;mani;;manje;manje;;;;;;;
1588;manifester;;;;;;manifEsta;;;;;;;;;;;;;manifEste;;;;;;manifEst;manifEstâ;;;;;;;;manifEst;;;;manifEst;;;;manifEste;;;;;;
1589;manipuler;;;;;;;;;;;;;;;;;;;;;;;;;manipyl;;;;;;;;;;;;;;;;;;;;;;;
1590;maniérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;manjEre;;;;;;
1591;manoeuvrer;;;;;;;;;;;;;;;;;;;;;;;;;man9vr;;;;;;;;;;;;;;;;;;;;;;;
1592;manquer;;mâkE;;;;mâka;;;mâk6re;mâk6ra;;;;mâkE;;mâkE;mâkE;mâkE;mâke;;;;mâkô;mâke;mâk;mâkâ;;mâk6rE;;;;mâk6rE;mâkô;mâk;mâke;mâk;mâk;mâk;;;;mâke;;;;mâk;mâk;mâk
1593;manucurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;manykyre;;;;;;;;
1594;maquiller;;;;;;;;;;;;;;;;;;;;;;;;;makij;;;;;;;;;makij;;;;;;makije;;makije;;;;;;
1595;marauder;;;;;;;;;;;;;;;;;marOdE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1596;marcher;;;;;marSEr;marSa;;marS6rE;;;;marS6ra;marSjô;marSE;;marSE;marSE;marSE;marSe;;;;marSô;marSe;marS;marSâ;;;;;;;;marS;marSe;;marS;marS;;;;;;;;marS;;marS
1597;marier;;;;;;marja;;marirE;marire;;;;;;;marjE;;marjE;marje;;;;;marje;mari;;;;;;;;;mari;marje;mari;mari;mari;marje;marje;marje;marje;;;;mari;;mari
1598;mariner;;;;;;;;;;;;;;;;;;;marine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1599;marmonner;;;;;;marmOna;;;;;;;;;;;;;;;;;;;;marmOnâ;;;;;;;;marmOn;;;;;;;;;;;;;;
1600;marquer;;;;;;marka;;mark6rE;;;;;;;;;markE;markE;marke;;;;;;mark;markâ;;;;;;;;mark;;;;mark;marke;marke;marke;marke;;;;;;
1601;marrer;;;;;;;;;;;;;;;;;;;mare;;;;;;mar;;;;;;;mar6rE;;mar;;;;mar;;;mare;;;;;;;mar
1602;marteler;;;;;;;;;;;;;;;;;;;;;;;;;martEl;;;;;;;;;;;;;;;;;mart6le;;;;;;
1603;martiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;martine;;;;;;;;;;;;;
1604;martyriser;;;;;;;;;;;;;;;;;;;martirize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1605;masquer;;;;;;maska;;;;;;;;;;;;maskE;maske;;;;;;;;;;;;;;;;;;;mask;;;;maske;;;;;;
1606;massacrer;;;;;;;;;;;;;;;;;;;masakre;;;;;;masakr;;;;;;;;;masakr;;;;;;;;;;;;;;
1607;masser;;;;;;;;;;;;;;;;;;masE;mase;;;;;;;masâ;;;;;;;;;;;;mas;;;;mase;;;;;;
1608;mastiquer;;;;;;;;;;;;;;;;;mastikE;;mastike;;;;;;;mastikâ;;;;;;;;;;;;;;;;mastike;;;;;;
1609;mater;;;;;;;;;;;;;;;;;;matE;mate;;;;;;mat;;;;;;;;;mat;;;;mat;;;;;;;;;;
1610;matraquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;matrake;matrake;;;;;;
1611;matérialiser;;;;;;;;;;;matErjaliz6rô;;;;;;;;matErjalize;;;;;;;;;;;;;;;matErjaliz;;;;;;matErjalize;;;;;;;;
1612;maudire;;;;;;;;;;;;;;mOdisE;;;;;;;;;;;;mOdisâ;;;;;;;;;;mOdi;;mOdi;;;;;;;;;;
1613;maîtriser;;;;;;;mEtriz6rô;;;;;;;;;;;;mEtrize;;;;;;;;;;;;;;;mEtriz;;;;mEtriz;;;;mEtrize;;;;;;
1614;menacer;;;;;;m6nasa;;;;;;;;;;;m6nasE;m6nasE;m6nase;;;;;;m6nas;;;;;;;;;m6nas;;;m6nas;m6nas;;m6nase;m6nase;m6nase;;;;m6nas;;
1615;mendier;;;;;;;;;;;;;;;;;;;mâdje;;;;;;;mâdjâ;;;;;;;;;;;;mâdi;;;;mâdje;;;;;;
1616;mener;;;;;;;;;;;;;;m6nE;;;;m6nE;m6ne;;;;;m6ne;mEn;m6nâ;;;;;;mEn6rE;m6nô;mEn;m6ne;mEn;mEn;mEn;;m6ne;m6ne;m6ne;;;;;;mEn
1617;mentionner;;;;;;;;;;;;;;;;;;mâsjOnE;mâsjOne;;;;;;;;;;;;;;;mâsjOn;;;mâsjOn;;;;;mâsjOne;;;;;;
1618;mentir;;mâti;;;;;;;;;;mâtira;;mâtE;;mâtE;;mâtE;mâtir;;;;;mâte;mâ;;;;;mâtirE;;;;mâ;;mâ;;mâ;;;;;;mât;;;;
1619;merder;;;;;;;;;;;;;;;;;;;;;;;;;mErd;;;;;;;;;mErd;;;;mErd;;;;;;;;;;
1620;mesurer;;;;;;;;;m6zyr6re;;;;;;;;;m6zyrE;m6zyre;;;;;m6zyre;m6zyr;m6zyrâ;;;;;;;;m6zyr;;;;m6zyr;;m6zyre;m6zyre;m6zyre;;;;;;
1621;mettre;;mi;;mi;mir;mi;mEtrô;mEtrE;mEtre;;;mEtra;;mEtE;;mEtE;mEtE;mEtE;mEtr;;;mi;mEtô;mEte;mE;mEtâ;;mEtrE;;;;mEtrE;mEtô;mE;mEte;mE;mEt;mE;miz;miz;;;;mEt;;;mEt;mEt
1622;meubler;;;;;;;;;;;;;;;;;;m6blE;;;;;;;m9bl;;;;;;;;;;;;;m9bl;;;m6ble;;;;;;;
1623;meuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m2l;;;;;;;;;;
1624;meurtrir;;;;;;;;;;;;;;;;;;;m9rtrir;;;;;;;;;;;;;;;;;;m9rtris;;;;;m9rtri;;;;;;
1625;mijoter;;;;;;;;;;;;;;;;;miZOtE;;miZOte;;;;;miZOte;;;;;;;;;;miZOt;;miZOt;;;;;;;;;;;;
1626;militer;;;;;;;;;;;;;;;;;;;;;;;;;milit;;;;;;;;;;;;;;;;;;;;;;;
1627;miner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;min;;;;min;;mine;mine;;;;;;;
1628;minimiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;minimize;;;;;;;;;;;;;
1629;minuter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;minyte;;;;;;
1630;mirer;;;;;;;;;;;;;;;;;;mirE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1631;miroiter;;;;;;;;;;;;;;;;;mirwatE;;;;;;;;;mirwatâ;;;;;;;;;;;;;;;;;;;;;;
1632;miser;;;;;;;;;;;;;;;;;;;mize;;;;;mize;;;;;;;;;;miz;;;;;;;;;;;;;;
1633;mithridatiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mitridatize;;;;;;;
1634;mitonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mitOne;;;;;;
1635;mitrailler;;;;;;;;;;;;;;;;;;mitrajE;;;;;;;mitraj;;;;;;;;;;;;;;;;;;;;;;;
1636;mobiliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mObiliz;;;;;;;;;;
1637;modeler;;;;;;;;;;;;;;;;;;;;;;;;;;mOd6lâ;;;;;;;;;;;;mOdEl;;mOd6le;;;;;;;;
1638;modifier;;;;;;;;;;;;;;;;;;;mOdifje;;;;;;mOdifi;;;;;;;;;;;;;;;;;mOdifje;;;;;;
1639;modérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOdEre;;;;;;
1640;moirer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mware;;;;;;;;
1641;moisir;;;;;;;;;;;;;;mwazisE;;;;;;;;;;;;mwazisâ;;;;;;;;;;;;;;;;;;;;;;
1642;momifier;;;;;;;;;;;;;;;;;;mOmifjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1643;monter;;môtE;;;môtEr;môta;;;;;;môt6ra;;;;môtE;môtE;môtE;môte;;;;;môte;môt;môtâ;;môt6rE;;môt6rE;;;môtô;môt;môte;môt;môt;môt;môte;môte;môte;môte;;;;;;môt
1644;montrer;;môtrE;;;môtrEr;môtra;môtr6rô;môtr6rE;môtr6re;;;môtr6ra;;;môtrje;môtrE;môtrE;môtrE;môtre;;;;môtrô;môtre;môtr;môtrâ;;môtr6rE;;;;môtr6rE;;môtr;môtre;môtr;môtr;môtr;môtre;môtre;môtre;môtre;;môtr;;môtr;;môtr
1645;moquer;;;;;;;;;;;;;;;;;;mOkE;mOke;;;;;;mOk;;;;;;;mOk6rE;;mOk;mOke;mOk;mOk;mOk;;mOke;;mOke;;mOk;;mOk;;
1646;morceler;;;;;;;;;;;;;;;;;;;mOrs6le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1647;mordiller;;;;;;;;;;;;;;;;;;;;;;;;;mOrdij;;;;;;;;;;;;;;;;;;;;;;;
1648;mordre;;;;;;mOrdi;;;;;;mOrdra;;;;;;mOrdE;mOrdr;;;;;;mOr;mOrdâ;;;;;;;;mOr;;mOr;mOrd;mOr;;mOrdy;;mOrdy;;;;;;
1649;motiver;;;;;;;;;;;;;;;;;;mOtivE;;;;;;;mOtiv;;;;;;;;;;;;;;;mOtive;;;;;;;;
1650;moucharder;;;;;;;;;;;;;;;;;;muSardE;;;;;;;;;;;;;;;;;;;;muSard;;;;;;;;;;
1651;moucher;;;;;;;;;;;;;;;;;;;;;;;;;muS;;;;;;;;;muS;;;;;;;;;;;;;;
1652;moufter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;muft;;;;;;;;;;
1653;mouiller;;;;;;;;;;;muj6rô;;;;;;;;muje;;;;;;muj;;;;;;;;;muj;;;;;;;muje;muje;;;;muj;;
1654;mouler;;;;;;;;;;;;;;;;;;;;;;;;;mul;;;;;;;;;;;;;;;;;mule;;;;;;
1655;mourir;;;;;;mury;;murrE;murre;murra;murrô;murra;;;;murE;;murE;murir;;;mury;;;m9r;;murrjô;murrE;;murrE;murrE;murrE;;m9r;;m9r;m9r;m9r;mOrt;mOrt;mOr;mOr;;m9r;;m9r;;m9r
1656;mousser;;;;;;;;;;;;;;;;;;;muse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1657;moutonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mutOn;;;;;;;;;;;
1658;mouvoir;;;;;;;;;;;;;;;;;muvE;;muvwar;;;;;;;;;;;;;;;;;;;;;;;my;;;;;;
1659;muer;;;;;;;;;;;;;;;;;;myE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1660;multiplier;;myltipliE;;;;;;;;;;;;;;;myltipliE;;;;;;;;myltipli;myltipliâ;;;;;;;;myltipli;;;;myltipli;;myltiplie;;;;;;;;
1661;munir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;myni;;;;;;;myni;myni;;;;;;
1662;murer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;myre;myre;;myre;;;;;;
1663;murmurer;;;;;;myrmyra;;;;;;;;;;;myrmyrE;myrmyrE;myrmyre;;;;;;myrmyr;myrmyrâ;;;;;;;;myrmyr;;;myrmyr;myrmyr;;;;myrmyre;;;;;;
1664;musarder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;myzard;;;;;;;;;;
1665;muscler;;;;;;;;;;;;;;;;;;;;;;;;;myskl;;;;;;;;;;;;;;;;myskle;;;;;;;
1666;muter;;;;;;;;;;;;;;;;;;;myte;;;;;;;;;;;;;;;;;;;;;;myte;myte;;;;;;
1667;mutiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mytile;;;;;;;;
1668;mâcher;;;;;;;;;;;;;;;;;;;maSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1669;mâchonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;maSOn;;;maSOne;;;;;;;
1670;mécaniser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEkanize;;;;;;
1671;méconnaître;;;;;;;;;;;;;;;;;;;mEkOnEtr;;;;;;;;;;;;;;;mEkOnE;;;;;;;;;;;;;;
1672;médire;;;;;;;;;;;;;;;;;;;mEdir;;;;mEdizô;;;;;;;;;;;;;;;;;;;;;;;;;
1673;méditer;;;;;;;;;;;;;;;;;;mEditE;mEdite;;;;;;mEdit;;;;;;;;;;;;;;;;mEdite;mEdite;;;;;;
1674;méfier;;;;;;;;mEfirE;;;;;;mEfjE;;;;mEfjE;mEfje;;;;;mEfje;mEfi;;;mEfirE;;;;mEfirE;;mEfi;;;;mEfi;;mEfje;;;;mEfi;;;;mEfi
1675;mélanger;;;;;;;;;;;;;;;;;;;mElâZe;;;;;;mElâZ;mElâZâ;;;;;;;;mElâZ;;;;;mElâZe;;;;;;;mElâZ;;
1676;mémoriser;;;;;;;;;;;;;;;;;;;;;;;;;mEmOriz;;;;;;;;;;;;;;;;;;;;;;;
1677;ménager;;;;;;;;;;;;;;mEnaZE;;;;;mEnaZe;;;;;mEnaZe;;;;;;;;;;;;;;;;mEnaZe;;mEnaZe;;;;;;
1678;méprendre;;;;;;;;;;;;;;;;;;;;;;;;mEpr6ne;;;;;;;;;;mEprâ;mEpr6ne;mEprâ;;;;;;;;;;;;
1679;mépriser;;;;;;;;mEpriz6rE;;;;;;;;;;mEprizE;mEprize;;;;;;mEpriz;mEprizâ;;;;;;;mEprizô;mEpriz;;mEpriz;;mEpriz;;;;mEprize;;mEpriz;;;;
1680;mériter;;;;;;;;;;;;;mEritjô;mEritE;;;mEritE;mEritE;mErite;;;;;mErite;mErit;;;;;;;;;mErit;mErite;mErit;mErit;mErit;;;;mErite;;mErit;;mErit;;mErit
1681;métamorphoser;;;;;;;;;;;;;;;;;mEtamOrfOzE;;;;;;;;;;;;;;;;;;;;;;;;;mEtamOrfOze;;;;;;
1682;mêler;;;;;mElEr;;;;;;;;;;;;mElE;mElE;mEle;;;;;mEle;mEl;mElâ;;;;;;;;mEl;;;;mEl;mEle;;;mEle;;mEl;;;;mEl
1683;nager;;;;;;;;;;;;;;naZE;;;;;naZe;;;;naZô;;naZ;naZâ;;;;;;;;;;;naZ;naZ;;;;;;;;;;
1684;nantir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nâti;;;;;;
1685;narguer;;;;;;;;;;;;;;;;;;;;;;;;;narg;;;;;;;;;;;;;;;;;;;;;;;
1686;narrer;;;;;;nara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1687;natter;;;;;;;;;;;;;;;;;;;nate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1688;naviguer;;;;;;;;;;;;;;;;;navigE;;navige;;;;navigô;;navig;;;;;;;;;;;;;navig;;;;;;;;;;
1689;navrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;navre;;navre;;;;;;
1690;naître;;;;;;;;;;;;;;;;;;nEsE;nEtr;;;;;;;;;;;;;;nEsô;nE;;;nEs;nE;;ne;ne;ne;;;;;;
1691;neiger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nEZ;;;;;;;;;;
1692;nettoyer;;;;;;;;;;;;nEtwara;;nEtwajE;;;;nEtwajE;nEtwaje;;;;;;nEtwa;;;;;;;;;nEtwa;;;nEtwa;nEtwa;nEtwaje;;;nEtwaje;;;;;;nEtwa
1693;neutraliser;;;;;;;;;;;;;;;;;;;n6tralize;;;;;;;;;;;;;;;;;;;;;;;n6tralize;;;;;;
1694;nicher;;;;;;;;;;;;;;;;;;;niSe;;;;;;;;;;;;;;;;;;;;;niSe;;;;;;;;
1695;nier;;;;;;;;nirE;;;;;;;;njE;;;nje;;;;;nje;ni;;;;;;;;;ni;nje;ni;ni;ni;;;;;;;;;;
1696;nimber;;;;;;;;;;;;;;;;;;nêbE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1697;noircir;;;;;;;;;;;;;;;;;;nwarsisE;;;;;;;nwarsi;;;;;;;;;nwarsi;;;;;;;;nwarsi;;;;;;
1698;nommer;;;;;nOmEr;;;;;;;;;;;;;nOmE;nOme;;;;nOmô;;nOm;;;;;;;;nOmô;nOm;nOme;;;nOm;;nOme;;nOme;;;;nOm;;nOm
1699;noter;;nOtE;;;;;;;;;;nOt6ra;;;;;;nOtE;nOte;;;;;nOte;;nOtâ;;;;;;nOt6rE;;nOt;nOte;;;nOt;;;;nOte;;;;;;
1700;notifier;;;;;;;;;;;;;;;;;;;nOtifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1701;nouer;;;;;;nua;;;;;;;;;;;;nuE;;;;;;;;;;;;;;;;;;;nu;;;;nue;;;;;;;
1702;nourrir;;;;;;nuri;;;;;;;;nurisE;;nurisE;nurisE;nurisE;nurir;;;;;;;;;;;;;;;nuri;;nuri;;nuri;;;nuri;nuri;;;;;;
1703;noyer;;;;;;nwaja;;;;;;;;;;nwajE;;;nwaje;;;;nwajô;;nwa;;;;;;;;;nwa;;;nwa;nwa;;;;;;;;;;nwa
1704;nuancer;;;;;;nyâsa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1705;nuire;;;;;;;;;;;;;;;;;;;nHir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1706;numéroter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nymErOte;;;;;;;;;
1707;nécessiter;;;;;;;;;;;;;;;;;;;;;;;;;nEsEsit;;;;;;;;;;;;nEsEsit;nEsEsit;;;;;;;;;;
1708;négliger;;;;;;;;;;;;;;;;;;;nEgliZe;;;;;;nEgliZ;nEgliZâ;;;;;;;;;;;;nEgliZ;;;nEgliZe;nEgliZe;;;;;;
1709;négocier;;;;;;;;;;;;;;;;;;;nEgOsje;;;;;;;;;;;;;;;nEgOsi;;;;;;;;nEgOsje;;;;;;
1710;objecter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ObZEkt;;;;;;;;;;
1711;obliger;;ObliZE;;;;ObliZa;;;;;;;;ObliZE;;;ObliZE;ObliZE;ObliZe;;;;;;ObliZ;ObliZâ;;;;;;;;ObliZ;;ObliZ;ObliZ;ObliZ;ObliZe;ObliZe;ObliZe;ObliZe;;;;;;ObliZ
1712;obliquer;;;;;;Oblika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1713;oblitérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OblitEre;;;;;;;
1714;observer;;ObsErvE;;;;ObsErva;;;;;;;;ObsErvE;;ObsErvE;ObsErvE;ObsErvE;ObsErve;;;;;ObsErve;ObsErv;ObsErvâ;;;;;;;;ObsErv;ObsErve;;;ObsErv;;ObsErve;;ObsErve;;ObsErv;;;;ObsErv
1715;obstiner;;;;;;Obstina;;;;;;;;;;ObstinE;;ObstinE;;;;;;;;;;;;;;;;Obstin;;;;;;;;Obstine;;;;;;
1716;obséder;;;;;;;;;;;;;;;;;;ObsEdE;;;;;;;;;;;;;;;;;;;;;;ObsEde;;;;;;;;
1717;obtempérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ObtâpEre;;;;;;;;;;;;;
1718;obtenir;;;;Obtê;Obtêr;Obtê;;ObtjêdrE;;Obtjêdra;;;;;;;;Obt6nE;Obt6nir;;;;;;Obtjê;Obt6nâ;;;;;;;;;Obt6ne;Obtjê;ObtjEn;Obtjê;;;Obt6ny;Obt6ny;;ObtjEn;;;;
1719;obturer;;;;;;;;;;;;;;;;;;ObtyrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1720;obéir;;;;;;ObEi;;;;;ObEirô;;;;;;ObEisE;;ObEir;;;;;;ObEi;;;;;;;;;ObEi;;ObEi;;ObEi;;;;;;ObEis;;;;
1721;occasionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OkazjOn;;;;;;;;;;
1722;occlure;;;;;;Okly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1723;occulter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Okylt;;;;;;;;;;;
1724;occuper;;;;;OkypEr;;;;;Okyp6ra;;Okyp6ra;;OkypE;;OkypE;;OkypE;Okype;;;;;Okype;Okyp;;;;;;;;;Okyp;Okype;Okyp;Okyp;Okyp;;Okype;Okype;Okype;;Okyp;;Okyp;;Okyp
1725;octroyer;;;;;;;;;;;;;;;;;OktrwajE;;;;;;;;;;;;;;;;;Oktrwa;;;;;;;;;;;;;;
1726;oeuvrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9vr;;;9vr;;;;;;;;;;;
1727;offenser;;;;;;;;;;;;;;;;;;;Ofâse;;;;;;;;;;;;Ofâs6rE;;;;;;;Ofâs;;Ofâse;Ofâse;Ofâse;;;;;;
1728;officier;;;;;;;;;;;;;;;;;OfisjE;;Ofisje;;;;;;;;;;;;;;;Ofisi;;;;;;;;;;;;;;
1729;offrir;;;;;;Ofri;;;;;;;;OfrE;;;;OfrE;Ofrir;;;;Ofrô;Ofre;Ofr;Ofrâ;;;;;;;Ofrô;Ofr;Ofre;Ofr;Ofr;Ofr;OfErt;OfErt;OfEr;OfEr;;Ofr;;Ofr;;Ofr
1730;onduler;;;;;;;;;;;;;;;;;;;ôdyle;;;;;;;ôdylâ;;;;;;;;ôdyl;;;;ôdyl;;;;;;;;;;
1731;opiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Opin;;;;;;;;;;;;;;
1732;opposer;;;;;OpOzEr;OpOza;;;;;;;;;;;;OpOzE;OpOze;;;;;;Opoz;;;;;;;;;Opoz;;;;Opoz;;;OpOze;OpOze;;;;;;Opoz
1733;opprimer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oprim;;;;;;;;;;;;;;
1734;opérer;;;;;;OpEra;;;;;;;;;;;;OpErE;OpEre;;;;OpErô;;OpEr;;;;;;;;;OpEr;;;;OpEr;;;;OpEre;;;;;;
1735;oranger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OrâZe;;;;;;;;;
1736;orchestrer;;;;;;OrkEstra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1737;ordonner;;;;;;OrdOna;;;;;;;;;;;;;;;;;;;OrdOn;;;;;;;;;OrdOn;;;OrdOn;OrdOn;;;;OrdOne;;;;;;
1738;organiser;;;;;OrganizEr;;;;;;;;;;;;;;Organize;;;;Organizô;;Organiz;;;;;;;;;Organiz;;;;Organiz;;;Organize;Organize;;Organiz;;;;Organiz
1739;orienter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Orjât;;;;Orjât;Orjâte;Orjâte;;;;;;;;
1740;ornementer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Orn6mâte;;Orn6mâte;;;;;;
1741;orner;;;;;;;;;;;;;;;;;;;;;;;;;;Ornâ;;;;;;;;;;;;Orn;;;;Orne;;;;;;
1742;osciller;;;;;;;;;;;;;;;;;OsilE;;;;;;;;;;;;;;;;;Osil;;;;Osil;;;;;;;;;;
1743;oser;;;;;OzEr;Oza;;;;;;;;OzE;Ozje;OzE;;OzE;Oze;;;;Ozô;Oze;oz;Ozâ;;Oz6rE;;;;Oz6rE;;oz;Oze;oz;;oz;;;;Oze;;;;;;oz
1744;ouatiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;watine;;;;;;
1745;oublier;;ubliE;;;;ublia;;ublirE;ublire;ublira;ublirô;ublira;ublijô;ubliE;;ubliE;;ubliE;ublie;;;;ubliô;ublie;ubli;ubliâ;;;;ublirE;;;ubliô;ubli;ublie;ubli;ubli;ubli;ublie;ublie;ublie;ublie;;ubli;;ubli;;ubli
1746;ouiller;;;;;;;;;;;;;;;;;;;;;;;;;uj;;;;;;;;;;;;;uj;;;;;;;;;;
1747;ourdir;;;;;;urdi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urdi;;;;;;;;
1748;ourler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urle;;;;;;;;
1749;outrager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;utraZe;;;;;;
1750;outrer;;;;;;;;;;;;;;;;;;;utre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1751;ouvrir;;uvri;;uvri;uvrir;uvri;;;;;;;uvriô;uvrE;;;uvrE;uvrE;uvrir;;;;uvrô;uvre;uvr;uvrâ;;;;;uvrirE;uvrirE;;uvr;uvre;uvr;uvr;uvr;uvErt;uvErt;uvEr;uvEr;;;;uvr;uvr;uvr
1752;ouïr;;;;;;;;;;;;;;;;;;;;;;;;;wa;;;;;;;;;wa;;;;;;;;;;;;;;
1753;pacifier;;;;;;;;;;;;;;;;;;;pasifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1754;palper;;;;;;;;;;;;;;;;;palpE;;;;;;;;;;;;;;;;;palp;;;;;;;;;;;;;;
1755;palpiter;;;;;;;;;;;;;;;;;palpitE;palpitE;palpite;;;;;;;;;;;;;;;palpit;;;;;;;;;;;;;;
1756;paniquer;;;;;;panika;;;;;;;;;;;;;panike;;;;;panike;panik;;;;;;;;;panik;;;;panik;;panike;;panike;;;;;;
1757;panser;;;;;;;;;;;;;;;;;;;pâse;;;;;;;;;;;;;;;;pâse;;;;;pâse;;;;;;;;
