;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
148;alléger;;;;;;alèZa;;;;;;;;;;;;alèZè;alèZe;;;;;;;;alEZ;;;;;;;;;alEZ;;;alEZ;alEZ;;;;;;;
149;alléguer;;;;;;;;;;;;;;;;;;alègè;;;;;;;;;;alègâ;;;;;;;;;;;;;;;;;;;
150;alourdir;;;;;;alurdi;;;;;;;;;;;alurdisè;alurdisè;alurdir;;;;;;;;alurdi;alurdisâ;;;;;;;;alurdi;;;alurdis;alurdi;;;;;;;
151;alpaguer;;;;;;;;;;;;;;;;;;;alpage;;;;;;;;;;;;;;;;;alpag;;;;alpag;;;;;;;
152;alterner;;;;;;altErna;;;;;;;;;;;altErnè;;;;;;;;;;altErn;altErnâ;;;;;;;;altErn;;;;altErn;;;;;;;
153;altérer;;;;;;;;;;;;;;;;;;altèrè;altère;;;;;;;;altEr;altèrâ;;;;;;;;altEr;;;;altEr;;;;;;;
154;aléser;;;;;;;;;;;;;;;;;;;alèze;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;amadouer;;;;;;;;;;;;;;;;;;amaduè;amadue;;;;;;;;;;;;;;;;;amadu;;;;amadu;;;;;;;
156;amaigrir;;;;;;;;;;;;;;;;;;amègrisè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;amarrer;;;;;;amara;;;;;;;;;;;;amarè;amare;;;;;;;;;;;;;;;;;;;;;amar;;;;;;;
158;amasser;;;;;;amasa;;;;;;;;;;;amasè;amasè;amase;;;;;;;;amas;;;;;;;;;amas;amase;;amas;amas;;;;;;;
159;ambitionner;;;;;;;;;;;;;;;;;;âbisjònè;;;;;;;;;;;;;;;;;;âbisjòn;;;;;;;;;;;
160;amender;;;;;;;;;;;;;;;;;;;amâde;;;;;;;;;;;;;;;;;amâd;;;;;;;;;;;
161;amener;;;;;am6nEr;am6na;amèn6rô;amèn6rè;;;amèn6rô;amèn6ra;am6njô;am6nè;;am6nè;am6nè;am6nè;am6ne;;;;;;am6nô;am6ne;amEn;am6nâ;;amèn6rè;;;amèn6rè;amèn6rè;am6nô;amEn;am6ne;amEn;amEn;amEn;;;amEn;;amEn;amEn;amEn
162;amenuiser;;;;;;;;;;;;;;;;;;am6nHizè;am6nHize;;;;;;;;;;;;;;;am6nHiz6rè;;;;;;am6nHiz;;;;;;;
163;amerrir;;;;;;;;;;;;;;;;;;;amèrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;ameuter;;;;;;;;;;;;;;;;;am6tè;;am6te;;;;;;;;am2t;;;;;;;;;am2t;;;;am2t;;;;;;;
165;amincir;;;;;;amêsi;;;;;;;;;;;;;amêsir;;;;;;;;;;;;;;;;;;;;;amêsi;;;;;;;
166;amocher;;;;;;;;;;;;;;;;;;;amòSe;;;;;;;;amOS;;;;;;;;;;;;;;;;;;;;
167;amoindrir;;;;;;amwêdri;;;;;;;;;;;;;amwêdrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;amollir;;;;;amòlir;;;;;;;;;;;;amòlisè;amòlisè;amòlir;;;;;;;;;amòlisâ;;;;;;;;amòli;;amòli;amòlis;amòli;;;;;;;
169;amonceler;;;;;;;;;;;;;;;;;amôs6lè;amôs6lè;amôs6le;;;;;;;;;;;;;;;;;;;;;amôsEl;;;;;;;
170;amorcer;;amOrsè;;;;amOrsa;;;;;;;;;;;;amOrsè;amOrse;;;;;;amOrsô;;amOrs;;;;;;;;amOrsô;amOrs;;;;amOrs;;;;;;;
171;amortir;;;;;;amOrti;;;;;;;;;;;;amOrtisè;amOrtir;;;;;;;;;;;;;;;;;amOrti;;;;amOrti;;;;;;;
172;amouracher;;;;;;;;;;;;;;;;;;;amuraSe;;;;;;;;;;;;;;;;;;;amuraS;;;;;;;;;
173;amplifier;;;;;;âplifja;;;;;;;;;;;âplifjè;âplifjè;âplifje;;;;;;;;;;;;;;;;;âplifi;;;;âplifi;;;;;;;
174;amputer;;;;;;;;âpyt6rè;;;;;;;;;;âpytè;âpyte;;;;;;;;;;;;;;;;;âpyt;;;;âpyt;;;;;;;
175;amuser;;;;;amyzEr;amyza;amyz6rô;amyz6rè;amyz6re;;amyz6rô;amyz6ra;;amyzè;amyzje;amyzè;amyzè;amyzè;amyze;;;;;;amyzô;amyze;amyz;amyzâ;;amyz6rè;;amyz6rè;amyz6rè;amyz6rè;amyzô;amyz;amyze;amyz;amyz;amyz;;;amyz;;amyz;;amyz
176;améliorer;;;;;;;;;;;amèljòr6rô;;;;;;amèljòrè;amèljòrè;amèljòre;;;;;;;amèljòre;amèljOr;amèljòrâ;;;;;;;amèljòrô;amèljOr;;amèljOr;;amèljOr;;;;;;;
177;aménager;;;;;;;;;;;;;;;;;;;amènaZe;;;;;;;;;;;;;;;;;;;;amènaZ;;;;;;;;
178;américaniser;;;;;;;;;;;;;;amèrikanizè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;analyser;;;;;;;;analiz6rè;;;;;;analizè;;;;analizè;analize;;;;;;;;analiz;;;;;;;;;analiz;;analiz;;analiz;;;;;analiz;;
180;ancrer;;;;;;;;;;;;;;;;;;;âkre;;;;;;;;;;;;;;;;;âkr;;;;âkr;;;;;;;
181;anesthésier;;;;;;;;;;;;;;;;;;;anEstèzje;;;;;;;;anEstèzi;;;;;;;;;;;;anEstèzi;anEstèzi;;;;;;;
182;angoisser;;;;;;;;;;;;;;;;;;âgwasè;âgwase;;;;;;;;âgwas;;;;;;;;;âgwas;;âgwas;;âgwas;;;;;;;
183;animer;;animè;;;;anima;;;;;;;;;;;animè;animè;anime;;;;;;;;anim;animâ;;;;;;;;anim;;;anim;anim;;;;;;;
184;aniser;;;;;;;;;;;;;;;;;;;;;;;;;;;aniz;;;;;;;;;;;;;;;;;;;;
185;ankyloser;;;;;;;;;;;;;;;;;;âkilòzè;âkilòze;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;annexer;;;;;;;;;;;;;;;;;;;anEkse;;;;;;;;;;;;;;;;;anEks;;;;;;;;;;;anEks
187;annihiler;;;;;;;;;;;;;;;;;;;;;;;;;;;aniil;;;;;;;;;;;;;;;;;;;;
188;annoncer;;anôsè;;;anôsEr;anôsa;;;anôs6re;anôs6ra;;;;anôsè;;anôsè;anôsè;anôsè;anôse;;;;;;anôsô;anôse;anôs;anôsâ;;;;;;;anôsô;anôs;anôse;;anôs;anôs;;;;;;;
189;annuler;;;;;anylEr;anyla;;;;;anyl6rô;;;;;anylè;;anylè;anyle;;;;;;;anyle;anyl;;;anyl6rè;;;;;anylô;anyl;anyle;anyl;anyl;anyl;;;;;;;
190;anoblir;;;;;;;;;;;;;;;;;;anòblisè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;anticiper;;;;;;;;;;;;âtisip6ra;;;;;;âtisipè;;;;;;;;;âtisip;;;;;;;;;âtisip;;;;âtisip;;;;;;;
192;anéantir;;;;;;anèâti;;;;;;;;;;;;;anèâtir;;;;;;;;anèâti;;;;;;;anèâtirè;;anèâti;anèâtise;anèâti;;anèâti;;;;;;;anèâtis
193;apaiser;;;;;apèzEr;apèza;;;;;;apèz6ra;;;;;apèzè;apèzè;apèze;;;;;apèza;;;apEz;;;;;;;apèz6rè;;apEz;;;;apEz;;;;;;;
194;apercevoir;apErsym;apErsy;;;apErsyr;apErsy;apErs6vrô;;apErs6vre;apErs6vra;apErs6vrô;apErs6vra;apErs6vjô;apErs6vè;apErs6vje;apErs6vè;apErs6vè;apErs6vè;apErs6vwar;;;;;apErsy;;;apErswa;apErs6vâ;;;;apErs6vrè;;apErs6vrè;apErs6vô;apErswa;apErs6ve;apErswa;;apErswa;;;apErswav;;apErswav;;apErswav
195;apitoyer;;;;;;;;;;;;;;;;;apitwajè;;apitwaje;;;;;;apitwajô;;apitwa;apitwajâ;;;;;;;;apitwa;;;;apitwa;;;;;;;
196;aplanir;;;;;;;;;;;;;;;;;;;aplanir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;aplatir;;;;;aplatir;aplati;;;;;;;;;;;;aplatisè;aplatir;;;;;;;aplatise;aplati;aplatisâ;;;;;;;;aplati;aplatise;aplati;aplatis;aplati;;;aplatis;;;;
198;apostropher;;;;;;apòstròfa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;apòstrOf;;;;;;;
199;apparaître;;apary;;;aparyr;apary;aparètrô;;;;aparètrô;aparètra;;;;aparèsè;aparèsè;aparèsè;aparEtr;;;;;;;;aparè;aparèsâ;aparètriô;;;;;aparètrè;;aparè;aparèse;aparè;aparEs;aparè;;;aparEs;;;;aparEs
200;appareiller;;;;;;aparèja;;;;;;;;;;;;;aparèje;;;;;;;;;;;;;;;;;aparEj;;;;;;;;;;;
201;apparenter;;;;;;;;;;;;;;;;;aparâtè;aparâtè;aparâte;;;;;;;;;aparâtâ;;;;;;;;aparât;;;aparât;aparât;;;;;;;
202;appartenir;;apartê;;;;apartê;;apartjêdrè;;;;apartjêdra;apart6njô;apart6nè;;apart6nè;apart6nè;apart6nè;apart6nir;;;;apartês;apartê;apart6nô;;apartjê;apart6nâ;;;;;apartjêdrè;apartjêdrè;apart6nô;apartjê;apart6ne;apartjê;apartjEn;apartjê;;;apartjEn;;;;apartjEn
203;appauvrir;;;;;;apòvri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;apòvri;;;;;;;
204;appeler;;ap6lè;;;ap6lEr;ap6la;;apèl6rè;apèl6re;apèl6ra;apèl6rô;apèl6ra;ap6ljô;ap6lè;ap6lje;ap6lè;ap6lè;ap6lè;ap6le;;;;;;ap6lô;ap6le;apEl;ap6lâ;;apèl6rè;apèl6rje;apèl6rè;;apèl6rè;ap6lô;apEl;ap6le;apEl;apEl;apEl;;;apEl;ap6lje;apEl;;apEl
205;appendre;;;;;;;;;;;;;;;;;;apâdè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;appesantir;;;;;;ap6zâti;;;;;;;;ap6zâtisè;;;;ap6zâtisè;;;;;;;;;;;;;;;;;;;;;;ap6zâti;;;;;;;
207;applaudir;;;;;aplòdir;aplòdi;;aplòdirè;;;;;;;;;aplòdisè;aplòdisè;aplòdir;;;;aplòdis;;aplòdisô;aplòdise;aplòdi;aplòdisâ;;;;;aplòdirè;;aplòdisô;;aplòdise;aplòdi;aplòdis;aplòdi;;;aplòdis;;;;
208;appliquer;;;;;aplikEr;aplika;;;;;;aplik6ra;;aplikè;;aplikè;aplikè;aplikè;aplike;;;;;;;aplike;aplik;aplikâ;;;;;;aplik6rè;;aplik;;;aplik;aplik;;;;;;;
209;apponter;;;;;;;;;;;;;;;;;;;apôte;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;apporter;;;;apOrta;apOrtEr;apOrta;;apOrt6rè;apOrt6re;apOrt6ra;apOrt6rô;apOrt6ra;apOrtjô;apOrtè;;apOrtè;apOrtè;apOrtè;apOrte;;;;;;apOrtô;apOrte;apOrt;apOrtâ;;apOrt6rè;apOrt6rje;;;apOrt6rè;apOrtô;apOrt;apOrte;apOrt;apOrt;apOrt;;;apOrt;;;;apOrt
211;apposer;;;;;;apòza;;;;;;;;;;;;;apòze;;;;;;;;;;;;;;;;;apoz;;;;apoz;;;;;;;
212;apprendre;;apri;;apri;aprir;apri;;aprâdrè;aprâdre;aprâdra;aprâdrô;aprâdra;apr6njô;apr6nè;apr6nje;apr6nè;apr6nè;apr6nè;aprâdr;;;;;;apr6nô;apr6ne;aprâ;apr6nâ;;aprâdrè;;aprâdrè;;aprâdrè;apr6nô;aprâ;apr6ne;aprâ;aprEn;aprâ;;;aprEn;apr6nje;aprEn;;aprEn
213;apprivoiser;;;;;;aprivwaza;;;;;;;;;;;;;aprivwaze;;;;;;;;aprivwaz;;;;;;;;;aprivwaz;;;;aprivwaz;;;;;;;
214;approcher;;apròSè;;;apròSEr;apròSa;;apròS6rè;;;apròS6rô;apròS6ra;apròSjô;apròSè;apròSje;apròSè;apròSè;apròSè;apròSe;;;;;;apròSô;apròSe;aprOS;apròSâ;;apròS6rè;;;;;apròSô;aprOS;apròSe;aprOS;aprOS;aprOS;;;aprOS;;aprOS;;
215;approfondir;;;;;;;;;;;;;;;;;apròfôdisè;;apròfôdir;;;;;;;;;;apròfôdirjô;;;;;;;;;;;apròfôdi;;;;;;;
216;approprier;;;;;;;;;;;;;;;;;;;apròprie;;;;;;;;;;;;;;;apròprirè;;;;;;;;;;;;;
217;approuver;;;;;;apruva;;;;;;;;apruvè;apruvje;apruvè;apruvè;apruvè;apruve;;;;;apruva;apruvô;apruve;apruv;apruvâ;;;;;;apruv6rè;apruvô;apruv;apruve;apruv;apruv;apruv;;;;;;;apruv
218;approvisionner;;;;;;;;;;;;apròvizjòn6ra;;;;;;;apròvizjòne;;;;;;;;;apròvizjònâ;;;;;;;;apròvizjòn;;;;;;;;;;;
219;apprécier;;aprèsjè;;;;aprèsja;;;aprèsire;;aprèsirô;aprèsira;aprèsijô;aprèsjè;;aprèsjè;aprèsjè;aprèsjè;aprèsje;;;;;;aprèsjô;aprèsje;aprèsi;aprèsjâ;;aprèsirè;;aprèsirè;;aprèsirè;aprèsjô;aprèsi;aprèsje;aprèsi;aprèsi;aprèsi;;;;;;aprèsi;
220;appréhender;;;;;;;;;;;;;;aprèâdè;;aprèâdè;;aprèâdè;aprèâde;;;;;;;;aprèâd;aprèâdâ;;;;;;;;aprèâd;aprèâde;;;aprèâd;;;;;;;aprèâd
221;apprêter;;;;;aprètEr;aprèta;;;;;;;;aprètè;;aprètè;aprètè;aprètè;aprète;;;;;;;aprète;aprEt;aprètâ;;;;;;;;aprEt;aprète;;aprEt;aprEt;;;;;;;
222;appuyer;apHiam;apHiè;;;apHiEr;apHia;;apHirè;;;apHirô;apHira;;apHiè;;apHiè;apHiè;apHiè;apHie;;;;;;;apHie;apHi;apHiâ;;;;;;;;apHi;apHie;apHi;apHi;apHi;;;;;apHi;;
223;appâter;;;;;;;;;;;;;;;;;;;apate;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;arabiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;arabizâ;;;;;;;;;;;;;;;;;;;
225;arbitrer;;;;;;;;;;;;;;;;;;;;;;;;;;;arbitr;;;;;;;;;;;;;;;;;;;;
226;arborer;;;;;;;;;;;;;;arbòrè;;;;arbòrè;arbòre;;;;;;;;arbOr;arbòrâ;;;;;;;;arbOr;;;arbOr;arbOr;;;;;;;
227;arc-bouter;;;;;;ark6buta;;;;;;;;;;;;ark6butè;;;;;;;;;;;;;;;;;;ark6but;;;;ark6but;;;;;;;
228;archiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arSiv;;
229;arguer;;;;;;;;;;;;;;;;;;;;;;;;;;;;argâ;;;;;;;;;;;;;;;;;;;
230;argumenter;;;;;;;;;;;;;;;;;;;argymâte;;;;;;;;;;;;;;;;;argymât;;;;argymât;;;;;;;
231;armer;;;;;;arma;;;;;;;;;;;;armè;arme;;;;;;armô;arme;arm;;;;;;;;armô;arm;arme;;;arm;;;;;arm;;
232;arnaquer;;;;;;;;;;;;;;;;;;;arnake;;;;;;;;arnak;;;;;;;;;arnak;;;;;;;arnak;;;;
233;aromatiser;;;;;;;;;;;;;;;;;;;aròmatize;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;arpenter;;arpâtè;;;;arpâta;;;;;;;;arpâtè;;;;arpâtè;arpâte;;;;;;;;arpât;arpâtâ;;;;;;;;arpât;;;;arpât;;;;;;;
235;arquer;;;;;;;;;;;;;;;;;arkè;;arke;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;arracher;;araSè;;;;araSa;araS6rô;araS6rè;;;araS6rô;araS6ra;;araSè;;araSè;;araSè;araSe;;;;;araSa;araSô;araSe;araS;araSâ;;araS6rè;;araS6rè;;araS6rè;araSô;araS;araSe;araS;araS;araS;;;araS;;;;araS
237;arranger;;;;;arâZEr;arâZa;arâZ6rô;arâZ6rè;arâZ6re;arâZ6ra;;arâZ6ra;;arâZè;arâZje;arâZè;arâZè;arâZè;arâZe;;;;;;;arâZe;arâZ;arâZâ;;arâZ6rè;;arâZ6rè;arâZ6rè;arâZ6rè;;arâZ;arâZe;arâZ;arâZ;arâZ;;;;;;arâZ;
238;arrimer;;;;;;;;;;;;;;;;;;;arime;;;;;;;;;arimâ;;;;;;;;;;;arim;;;;;;;;
239;arriver;arivam;arivè;;ariva;arivEr;ariva;ariv6rô;ariv6rè;ariv6re;ariv6ra;ariv6rô;ariv6ra;arivjô;arivè;arivje;arivè;arivè;arivè;arive;;;;;;arivô;arive;ariv;arivâ;;ariv6rè;;ariv6rè;ariv6rè;ariv6rè;arivô;ariv;arive;ariv;ariv;ariv;;;ariv;;;ariv;ariv
240;arroger;;;;;;;;;;;;;;;;;;;aròZe;;;;;;;;;;;;;;;;;arOZ;;;;arOZ;;;;;;;
241;arrondir;;;;;;;;;;;;arôdira;;;;;arôdisè;arôdisè;arôdir;;;;;;;;arôdi;;;;;;;;;arôdi;;arôdi;arôdis;;;;;;;;
242;arroser;;;;;aròzEr;aròza;;;;;;;;;;;aròzè;aròzè;aròze;;;;;;aròzô;aròze;aroz;aròzâ;;aròz6rè;;;;;aròzô;aroz;aròze;;;aroz;;;;;;;
243;arrêter;arètam;arètè;;;arètEr;arèta;;arèt6rè;arèt6re;arèt6ra;arèt6rô;arèt6ra;arètjô;arètè;;arètè;arètè;arètè;arète;;;;;arèta;arètô;arète;arEt;arètâ;arèt6rjô;arèt6rè;;arèt6rè;;arèt6rè;arètô;arEt;arète;arEt;arEt;arEt;;arètjô;arEt;;arEt;arEt;arEt
244;articuler;;;;;;;;;;;;;;;;;;;artikyle;;;;;;;;artikyl;artikylâ;;;;;;;;artikyl;;;;artikyl;;;;;;;
245;asperger;;;;;;aspErZa;;;;;;;;;;;;aspErZè;aspErZe;;;;;;;aspErZe;aspErZ;aspErZâ;;;;;;;;aspErZ;;;;aspErZ;;;;;;;
246;asphyxier;;;;;;;;;;;;;;;;;;;asfiksje;;;;;;;;;asfiksjâ;;;;;;;;asfiksi;;;;asfiksi;;;;;;;
247;aspirer;;;;;;aspira;;;;;;aspir6ra;aspirjô;aspirè;;;aspirè;aspirè;aspire;;;;;;aspirô;aspire;aspir;aspirâ;;;;;;aspir6rè;;aspir;aspire;;aspir;aspir;;;;;;;
248;assagir;;;;;;asaZi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;assaillir;;;;;;;;;;;;;;;;;asajè;asajè;asajir;;;;;;;;;;;;;;;;;asaj;;;asaj;asaj;;;;;;;
250;assainir;;;;;;;;;;;;;;;;;;;asènir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;assaisonner;;;;;;;;;;;;;;;;;;asèzònè;asèzòne;;;;;;;;asèzòn;;;;;;;asèzòn6rè;;;;;;;;;;;;;
252;assassiner;;;;;;asasina;;;;;;asasin6ra;;;;;;asasinè;asasine;;;;;;;;asasin;asasinâ;;;;;;;;asasin;;asasin;asasin;asasin;;;;;;;asasin
253;assavoir;;;;;;;;;;;;;;;;;;;asavwar;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;assembler;;;;;;;;;;;;;;;;;asâblè;asâblè;asâble;;;;;;asâblô;;asâbl;;;;;;;;;asâbl;;;asâbl;asâbl;;;;;;;
255;assener;;;;;;as6na;;asèn6rè;;;;;;as6nè;;;;as6nè;as6ne;;;;;;;;asEn;as6nâ;;;;;;;;;;;;asEn;;;;;;;
256;asseoir;;asi;;asi;asir;asi;;asjèrè,aswarè;;;;;asèjô;asèjè;;asèjè;asèjè;asèjè;aswar;;;;;;asèjô;asèje;asje,aswa;asèjâ;;;;;aswarè;asjèrè;asèjô;asje,aswa;asèje,aswaje;asje,aswa;asEj,aswa;asje,aswa;;;aswa;;aswa;;asEj,aswa
257;assermenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asErmâte;;;;;;;;;;
258;asservir;;;;;;;;;;;;;;;;;;asErvisè;asErvir;;;;;;;;;asErvisâ;;;;;;;;;;;;;;;;;;;
259;assigner;;;;;;;;;;;asiJ6rô;;;;;;;;asiJe;;;;;;;;;asiJâ;;;;;;;;asiJ;;;;;;;;;;;
260;assimiler;;;;;asimilEr;;;;;;;;;;;;;asimilè;asimile;;;;;;;;asimil;asimilâ;;;;;;;;;asimile;;;;;;;;;;
261;assister;;asistè;;;asistEr;asista;asist6rô;;;asist6ra;;asist6ra;asistjô;asistè;;asistè;asistè;asistè;asiste;;;;;;asistô;asiste;asist;asistâ;;asist6rè;;;;asist6rè;asistô;asist;;;asist;asist;;;;;;;asist
262;assiéger;;;;;;;;;;;;;;;;;asjèZè;;asjèZe;;;;;;;;;asjèZâ;;;;;;;;;;;asjEZ;;;;;;;;
263;associer;;;;;;asòsja;;;;;;;;asòsjè;;;;asòsjè;asòsje;;;;;asòsja;;asòsje;asòsi;asòsjâ;;;;;;;;asòsi;;;asòsi;asòsi;;;;;;;
264;assombrir;;;;;;asôbri;;;;;;;;;;;asôbrisè;asôbrisè;asôbrir;;;;;asôbri;;;;;;;;;;;;;;asôbri;asôbris;asôbri;;;;;;;
265;assommer;;;;;;asòma;;;;;;asòm6ra;;;;;;asòmè;asòme;;;;;;;;asOm;;;;;;asòm6rè;;;asOm;;;asOm;asOm;;;;;;;
266;assortir;;;;;;;;;;;;;;;;;;;;;;;;;;;asOrti;;;;;;;;;asOrti;;;;;;;;;;;
267;assoupir;;;;;;asupi;;;;;;;;;;;asupisè;asupisè;asupir;;;;;;;;;;;asupirè;;;;;;;;asupi;asupis;;;;;;;;
268;assouplir;;;;;;asupli;;;;;;;;;;;;;asuplir;;;;;;;;;;;;;;;;;;;;;asupli;;;;;;;
269;assourdir;;;;;asurdir;asurdi;;;;;;;;;;;;;;;;;;;;;;asurdisâ;;;;;;;;;;;asurdis;asurdi;;;;;;;
270;assouvir;;;;;;;;;;;;;;;;;;asuvisè;asuvir;;;;;;;;;;;;;;;;;;;asuvi;;asuvi;;;;;;;
271;assujettir;;;;;;asyZèti;;;;;;;;;;;;;asyZètir;;;;;;;;;;;;;;asyZètirè;;;;;;;;;;;;;;asyZètis
272;assumer;;;;;;;;;;;;asym6ra;;;;;asymè;asymè;asyme;;;;;asyma;;asyme;asym;;;;;;;;asymô;asym;;;asym;asym;;;;;;;asym
273;assurer;;;;;asyrEr;asyra;;asyr6rè;;;asyr6rô;asyr6ra;;asyrè;asyrje;asyrè;asyrè;asyrè;asyre;;;;;;;asyre;asyr;asyrâ;;asyr6rè;;;asyr6rè;asyr6rè;;asyr;asyre;asyr;asyr;asyr;;;;;asyr;;asyr
274;assécher;;;;;;;;;;;;;;asèSè;;;;;asèSe;;;;;;asèSô;;asES;;;;;;;;;asES;;;asES;asES;;;;;;;
275;asticoter;;;;;;;;;;;;;;;;;;;;;;;;;;;astikOt;;;;;;;;;astikOt;;;;;;;;;;;
276;astiquer;;;;;;;;;;;;;;;;;;astikè;astike;;;;;;;;astik;astikâ;;;;;;;;astik;;;astik;astik;;;;;;;
277;astreindre;;;;;;astrèJi;;;;;;;;;;;;astrèJè;astrêdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;atrophier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atròfi;;;;;;;;
279;attabler;;;;;;;;;;;;;;;;;;;atable;;;;;;;;;atablâ;;;;;;;;;;;atabl;atabl;;;;;;;
280;attacher;;ataSè;;;;ataSa;;ataS6rè;;;;ataS6ra;;ataSè;ataSje;ataSè;ataSè;ataSè;ataSe;;;;;ataSa;ataSô;ataSe;ataS;ataSâ;;ataS6rè;;;;;ataSô;ataS;ataSe;ataS;ataS;ataS;;;;ataSje;;;
281;attaquer;;;;;atakEr;ataka;atak6rô;atak6rè;;;atak6rô;atak6ra;;;;atakè;atakè;atakè;atake;;;;;;atakô;atake;atak;atakâ;;atak6rè;;atak6rè;atak6rè;atak6rè;atakô;atak;atake;atak;atak;atak;;;;;;atak;atak
282;attarder;atardam;atardè;;;atardEr;atarda;;;;;;;;atardè;;;atardè;atardè;atarde;;;;;;;atarde;atard;atardâ;;;;;;;;atard;;;atard;atard;;;atard;;;;
283;atteindre;;atèJi;;;atèJir;atèJi;atêdrô;atêdrè;atêdre;;atêdrô;atêdra;;;;;atèJè;atèJè;atêdr;;;;;;atèJô;;atê;atèJâ;;atêdrè;;;atêdrè;atêdrè;atèJô;atê;atèJe;atê;atEJ;atê;;;atEJ;;;;atEJ
284;atteler;;;;;;;;;;;;;;at6lè;;;;;at6le;;;;;;;;atEl;;;;;;;;;atEl;;;;atEl;;;;;;;atEl
285;attendre;atâdim;atâdi;;;atâdir;atâdi;atâdrô;atâdrè;atâdre;atâdra;atâdrô;atâdra;atâdjô;atâdè;atâdje;atâdè;atâdè;atâdè;atâdr;;atâdis;;;atâdi;atâdô;atâde;atâ;atâdâ;atâdriô;atâdrè;;atâdrè;;atâdrè;atâdô;atâ;atâde;atâ;atâd;atâ;;;atâd;atâdje;;;atâd
286;attendrir;;;;;atâdrir;atâdri;;;;;;;;;;;atâdrisè;atâdrisè;atâdrir;;;;;;;;atâdri;;;;;;;;;atâdri;;atâdri;atâdris;atâdri;;;atâdris;;;;
287;attenter;;;;;;;;;;;;;;;;;;;atâte;;;;;;;atâte;;;;;;;;;;atât;atâte;;;;;;;;;;
288;atterrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atEr;;;;;;;;;;;
289;atterrir;;;;;;atèri;;;;;;;;;;;atèrisè;;atèrir;;;;;;;atèrise;atèri;;;;;;;;;atèri;;atèri;atèris;atèri;;;atèris;;;;atèris
290;attester;;;;;;atEsta;;;;;;;;;;;;atEstè;atEste;;;;;;;;;atEstâ;;;;;;;;atEst;;;atEst;atEst;;;;;;;
291;attifer;;;;;;;;;;;;;;;;;;;;;;;;;;;;atifâ;;;;;;;;;;;;;;;;;;;
292;attiger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atiZ;;;;atiZ;;;;;;;
293;attirer;;;;;atirEr;atira;;;;;;atir6ra;;atirè;atirje;atirè;atirè;atirè;atire;;;;;;;atire;atir;atirâ;;;;;;atir6rè;;atir;;atir;atir;atir;;;;;;;
294;attiser;;;;;;atiza;;;;;;;;;;;;;atize;;;;;;;;atiz;;;;;;;;;;;;;atiz;;;;;;;
295;attraper;;atrapè;;;atrapEr;atrapa;;atrap6rè;;atrap6ra;atrap6rô;atrap6ra;;atrapè;atrapje;;;atrapè;atrape;;;;;;atrapô;atrape;atrap;atrapâ;;;;atrap6rè;;atrap6rè;atrapô;atrap;atrape;atrap;atrap;atrap;;;;;atrap;;atrap
296;attribuer;;atribyè;;;;;;;;;;atribyra;;atribyè;;;;atribyè;atribye;;;;;atribya;;;atriby;atribyâ;;;;;atribyrè;;;atriby;;;;atriby;;;;;;;
297;attrister;;atristè;;;;;;;;;;;;;;;;atristè;;;;;;atrista;;;;atristâ;;;;;;;;atrist;;;atrist;atrist;;;;;;;
298;attrouper;;;;;;;;;;;;;;;;;atrupè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;atténuer;;;;;;atènya;;;;;;;;;;;atènyè;atènyè;atènye;;;;;;;;atèny;;;;;;;;;atèny;atènye;;;atèny;;;;;;;
